keyword,group
defense,specific
defence,specific
pathogen,specific
NBS,specific
NB-ARC,specific
LRR,specific
TIR,specific
CC-NBS,specific
PR-,specific
pathogenesis-related,specific
chitinase,specific
glucanase,specific
thaumatin,specific
defensin,specific
osmotin,specific
stilbene synthase,specific
STS,specific
resveratrol,specific
phenylalanine ammonia-lyase,specific
PAL,specific
WRKY,specific
NPR1,specific
EDS1,specific
PAD4,specific
callose,specific
jasmonic,specific
salicylic,specific
hypersensitive,specific
programmed cell death,specific
R gene,specific
R-gene,specific
immune,specific
immunity,specific
downy mildew,specific
powdery mildew,specific
Botrytis,specific
Plasmopara,specific
Erysiphe,specific
Phytophthora,specific
kinase,broad
receptor-like,broad
peroxidase,broad
oxidase,broad
lignin,broad
ethylene,broad
resistance,broad
disease,broad
