species,keyword_set,n_keywords,tier,n_candidates,n_with_keyword,candidate_rate,background_rate,fold_enrichment,odds_ratio,fisher_p
arabidopsis_thaliana,all,47,strict,1443,669,0.4636,0.0971,4.77,9.21,8.88e-297
arabidopsis_thaliana,all,47,moderate,2807,1150,0.4097,0.0971,4.22,8.23,0.00e+00
arabidopsis_thaliana,all,47,lenient,7155,2121,0.2964,0.0971,3.05,6.33,0.00e+00
arabidopsis_thaliana,specific,39,strict,1443,284,0.1968,0.0223,8.83,14.24,1.48e-186
arabidopsis_thaliana,specific,39,moderate,2807,431,0.1535,0.0223,6.89,12.61,8.38e-249
arabidopsis_thaliana,specific,39,lenient,7155,524,0.0732,0.0223,3.28,5.81,2.81e-156
arabidopsis_thaliana,broad,8,strict,1443,611,0.4234,0.0838,5.05,9.28,8.39e-280
arabidopsis_thaliana,broad,8,moderate,2807,1063,0.3787,0.0838,4.52,8.68,0.00e+00
arabidopsis_thaliana,broad,8,lenient,7155,1966,0.2748,0.0838,3.28,7.11,0.00e+00
oryza_sativa,all,47,strict,1272,579,0.4552,0.1136,4.01,7.27,6.84e-215
oryza_sativa,all,47,moderate,2442,1075,0.4402,0.1136,3.87,7.6,0.00e+00
oryza_sativa,all,47,lenient,6431,2521,0.392,0.1136,3.45,9.41,0.00e+00
oryza_sativa,specific,39,strict,1272,159,0.125,0.0209,5.99,7.94,4.46e-76
oryza_sativa,specific,39,moderate,2442,192,0.0786,0.0209,3.77,4.83,7.81e-59
oryza_sativa,specific,39,lenient,6431,356,0.0554,0.0209,2.65,3.92,2.15e-74
oryza_sativa,broad,8,strict,1272,535,0.4206,0.0988,4.26,7.44,1.08e-207
oryza_sativa,broad,8,moderate,2442,1017,0.4165,0.0988,4.22,8.27,0.00e+00
oryza_sativa,broad,8,lenient,6431,2368,0.3682,0.0988,3.73,10.88,0.00e+00
vitis_vinifera,all,47,strict,1210,587,0.4851,0.1332,3.64,6.75,1.24e-199
vitis_vinifera,all,47,moderate,2354,1051,0.4465,0.1332,3.35,6.27,0.00e+00
vitis_vinifera,all,47,lenient,6526,2759,0.4228,0.1332,3.17,8.68,0.00e+00
vitis_vinifera,specific,39,strict,1210,206,0.1702,0.0187,9.1,14.4,1.30e-137
vitis_vinifera,specific,39,moderate,2354,263,0.1117,0.0187,5.97,9.56,1.88e-132
vitis_vinifera,specific,39,lenient,6526,326,0.05,0.0187,2.67,4.08,2.66e-70
vitis_vinifera,broad,8,strict,1210,489,0.4041,0.1204,3.36,5.39,1.17e-143
vitis_vinifera,broad,8,moderate,2354,933,0.3963,0.1204,3.29,5.69,2.83e-276
vitis_vinifera,broad,8,lenient,6526,2617,0.401,0.1204,3.33,9.36,0.00e+00
