species,interpro,domain,kwneg_with_domain
Arabidopsis thaliana,IPR032675,LRR domain,81
Arabidopsis thaliana,IPR011009,Kinase-like,41
Arabidopsis thaliana,IPR000490,GH17 glucanase (PR-2),39
Arabidopsis thaliana,IPR000719,Protein kinase,38
Arabidopsis thaliana,IPR001611,LRR (receptor),33
Arabidopsis thaliana,IPR002182,NB-ARC (NLR),18
Arabidopsis thaliana,IPR000726,GH19 chitinase (PR-3),0
Arabidopsis thaliana,IPR001938,Thaumatin (PR-5),0
Arabidopsis thaliana,IPR014044,CAP / PR-1,0
Arabidopsis thaliana,IPR008680,NPR1-like,0
Arabidopsis thaliana,IPR003657,WRKY domain,0
Arabidopsis thaliana,IPR001128,Cytochrome P450,0
Arabidopsis thaliana,IPR044851,PAL / histidase,0
