species,interpro,domain,kwneg_with_domain
Oryza sativa Japonica Group,IPR000490,GH17 glucanase (PR-2),2
Oryza sativa Japonica Group,IPR002182,NB-ARC (NLR),0
Oryza sativa Japonica Group,IPR032675,LRR domain,0
Oryza sativa Japonica Group,IPR001611,LRR (receptor),0
Oryza sativa Japonica Group,IPR000719,Protein kinase,0
Oryza sativa Japonica Group,IPR011009,Kinase-like,0
Oryza sativa Japonica Group,IPR000726,GH19 chitinase (PR-3),0
Oryza sativa Japonica Group,IPR001938,Thaumatin (PR-5),0
Oryza sativa Japonica Group,IPR014044,CAP / PR-1,0
Oryza sativa Japonica Group,IPR008680,NPR1-like,0
Oryza sativa Japonica Group,IPR003657,WRKY domain,0
Oryza sativa Japonica Group,IPR001128,Cytochrome P450,0
Oryza sativa Japonica Group,IPR044851,PAL / histidase,0
