species,interpro,domain,kwneg_with_domain
Vitis vinifera,IPR001938,Thaumatin (PR-5),1
Vitis vinifera,IPR002182,NB-ARC (NLR),0
Vitis vinifera,IPR032675,LRR domain,0
Vitis vinifera,IPR001611,LRR (receptor),0
Vitis vinifera,IPR000719,Protein kinase,0
Vitis vinifera,IPR011009,Kinase-like,0
Vitis vinifera,IPR000726,GH19 chitinase (PR-3),0
Vitis vinifera,IPR000490,GH17 glucanase (PR-2),0
Vitis vinifera,IPR014044,CAP / PR-1,0
Vitis vinifera,IPR008680,NPR1-like,0
Vitis vinifera,IPR003657,WRKY domain,0
Vitis vinifera,IPR001128,Cytochrome P450,0
Vitis vinifera,IPR044851,PAL / histidase,0
