species,pfam,domain,kwneg_with_domain
Arabidopsis thaliana,PF00332,GH17 glucanase (PR-2),61
Arabidopsis thaliana,PF00069,Protein kinase,38
Arabidopsis thaliana,PF07714,Tyr kinase (PK_Tyr_Ser-Thr),38
Arabidopsis thaliana,PF00560,LRR_1,35
Arabidopsis thaliana,PF13855,LRR_8,33
Arabidopsis thaliana,PF08263,LRR_N (LRRNT_2),23
Arabidopsis thaliana,PF00931,NB-ARC (NLR),21
Arabidopsis thaliana,PF00221,PAL / histidase (Lyase_aromatic),3
Arabidopsis thaliana,PF00954,S-locus glycoprotein,1
Arabidopsis thaliana,PF01453,B-lectin (D-mannose),1
Arabidopsis thaliana,PF03106,WRKY DNA-binding,0
Arabidopsis thaliana,PF00190,Cupin / germin,0
Arabidopsis thaliana,PF01419,Jacalin lectin,0
Arabidopsis thaliana,PF00067,Cytochrome P450,0
Arabidopsis thaliana,PF00314,Thaumatin (PR-5),0
Arabidopsis thaliana,PF00704,GH18 chitinase,0
Arabidopsis thaliana,PF00188,CAP / PR-1 (SCP),0
Arabidopsis thaliana,PF13306,LRR (LRR_5),0
Arabidopsis thaliana,PF00182,GH19 chitinase (PR-3),0
Arabidopsis thaliana,PF00187,Chitin-binding (PR-4),0
Arabidopsis thaliana,PF00141,Peroxidase,0
