species,pfam,domain,kwneg_with_domain
Oryza sativa,PF00332,GH17 glucanase (PR-2),65
Oryza sativa,PF00069,Protein kinase,37
Oryza sativa,PF07714,Tyr kinase (PK_Tyr_Ser-Thr),37
Oryza sativa,PF00560,LRR_1,30
Oryza sativa,PF13855,LRR_8,29
Oryza sativa,PF08263,LRR_N (LRRNT_2),18
Oryza sativa,PF00931,NB-ARC (NLR),5
Oryza sativa,PF00704,GH18 chitinase,3
Oryza sativa,PF00314,Thaumatin (PR-5),3
Oryza sativa,PF00188,CAP / PR-1 (SCP),1
Oryza sativa,PF00182,GH19 chitinase (PR-3),0
Oryza sativa,PF13306,LRR (LRR_5),0
Oryza sativa,PF00954,S-locus glycoprotein,0
Oryza sativa,PF01453,B-lectin (D-mannose),0
Oryza sativa,PF00187,Chitin-binding (PR-4),0
Oryza sativa,PF03106,WRKY DNA-binding,0
Oryza sativa,PF00067,Cytochrome P450,0
Oryza sativa,PF00221,PAL / histidase (Lyase_aromatic),0
Oryza sativa,PF01419,Jacalin lectin,0
Oryza sativa,PF00190,Cupin / germin,0
Oryza sativa,PF00141,Peroxidase,0
