species,pfam,domain,kwneg_with_domain
Vitis vinifera,PF00332,GH17 glucanase (PR-2),47
Vitis vinifera,PF00069,Protein kinase,27
Vitis vinifera,PF07714,Tyr kinase (PK_Tyr_Ser-Thr),27
Vitis vinifera,PF13855,LRR_8,25
Vitis vinifera,PF00560,LRR_1,24
Vitis vinifera,PF08263,LRR_N (LRRNT_2),14
Vitis vinifera,PF00314,Thaumatin (PR-5),6
Vitis vinifera,PF00931,NB-ARC (NLR),4
Vitis vinifera,PF00182,GH19 chitinase (PR-3),1
Vitis vinifera,PF00187,Chitin-binding (PR-4),1
Vitis vinifera,PF00704,GH18 chitinase,1
Vitis vinifera,PF13306,LRR (LRR_5),0
Vitis vinifera,PF00188,CAP / PR-1 (SCP),0
Vitis vinifera,PF00954,S-locus glycoprotein,0
Vitis vinifera,PF01453,B-lectin (D-mannose),0
Vitis vinifera,PF03106,WRKY DNA-binding,0
Vitis vinifera,PF00067,Cytochrome P450,0
Vitis vinifera,PF00221,PAL / histidase (Lyase_aromatic),0
Vitis vinifera,PF01419,Jacalin lectin,0
Vitis vinifera,PF00190,Cupin / germin,0
Vitis vinifera,PF00141,Peroxidase,0
