species,percentile,top_n,n_candidates,pct_proteome,jaccard_vs_default,frac_default_retained,category_comp_L1_drift,is_default
arabidopsis_thaliana,95.0,0,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,10,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,25,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,50,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,100,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,96.0,0,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,10,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,25,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,50,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,100,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,97.0,0,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,10,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,25,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,50,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,100,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,98.0,0,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,10,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,25,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,50,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,100,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,99.0,0,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.0,10,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.0,25,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.0,50,2807,5.823,1.0,1.0,0.0,True
arabidopsis_thaliana,99.0,100,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.5,0,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,10,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,25,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,50,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,100,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.9,0,294,0.61,0.1047,0.1047,0.2556,False
arabidopsis_thaliana,99.9,10,294,0.61,0.1047,0.1047,0.2556,False
arabidopsis_thaliana,99.9,25,294,0.61,0.1047,0.1047,0.2556,False
arabidopsis_thaliana,99.9,50,300,0.622,0.1069,0.1069,0.2516,False
arabidopsis_thaliana,99.9,100,600,1.245,0.2138,0.2138,0.1783,False
