species,percentile,top_n,n_candidates,pct_proteome,jaccard_vs_default,frac_default_retained,category_comp_L1_drift,is_default
oryza_sativa,95.0,0,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,10,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,25,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,50,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,100,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,96.0,0,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,10,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,25,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,50,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,100,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,97.0,0,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,10,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,25,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,50,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,100,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,98.0,0,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,10,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,25,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,50,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,100,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,99.0,0,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.0,10,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.0,25,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.0,50,2442,5.736,1.0,1.0,0.0,True
oryza_sativa,99.0,100,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.5,0,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,10,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,25,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,50,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,100,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.9,0,259,0.608,0.1061,0.1061,0.2143,False
oryza_sativa,99.9,10,259,0.608,0.1061,0.1061,0.2143,False
oryza_sativa,99.9,25,259,0.608,0.1061,0.1061,0.2143,False
oryza_sativa,99.9,50,300,0.705,0.1229,0.1229,0.197,False
oryza_sativa,99.9,100,600,1.409,0.2457,0.2457,0.1429,False
