species,percentile,top_n,n_candidates,pct_proteome,jaccard_vs_default,frac_default_retained,category_comp_L1_drift,is_default
arabidopsis_thaliana,95.0,0,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,10,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,25,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,50,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,95.0,100,10797,22.397,0.26,1.0,0.4135,False
arabidopsis_thaliana,96.0,0,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,10,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,25,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,50,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,96.0,100,9024,18.719,0.3111,1.0,0.3443,False
arabidopsis_thaliana,97.0,0,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,10,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,25,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,50,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,97.0,100,7155,14.842,0.3923,1.0,0.2533,False
arabidopsis_thaliana,98.0,0,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,10,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,25,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,50,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,98.0,100,5078,10.534,0.5528,1.0,0.1604,False
arabidopsis_thaliana,99.0,0,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.0,10,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.0,25,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.0,50,2807,5.823,1.0,1.0,0.0,True
arabidopsis_thaliana,99.0,100,2807,5.823,1.0,1.0,0.0,False
arabidopsis_thaliana,99.5,0,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,10,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,25,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,50,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.5,100,1443,2.993,0.5141,0.5141,0.0826,False
arabidopsis_thaliana,99.9,0,294,0.61,0.1047,0.1047,0.2556,False
arabidopsis_thaliana,99.9,10,294,0.61,0.1047,0.1047,0.2556,False
arabidopsis_thaliana,99.9,25,294,0.61,0.1047,0.1047,0.2556,False
arabidopsis_thaliana,99.9,50,300,0.622,0.1069,0.1069,0.2516,False
arabidopsis_thaliana,99.9,100,600,1.245,0.2138,0.2138,0.1783,False
oryza_sativa,95.0,0,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,10,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,25,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,50,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,95.0,100,9328,21.91,0.2618,1.0,0.344,False
oryza_sativa,96.0,0,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,10,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,25,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,50,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,96.0,100,7956,18.687,0.3069,1.0,0.2742,False
oryza_sativa,97.0,0,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,10,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,25,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,50,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,97.0,100,6431,15.105,0.3797,1.0,0.2096,False
oryza_sativa,98.0,0,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,10,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,25,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,50,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,98.0,100,4624,10.861,0.5281,1.0,0.1205,False
oryza_sativa,99.0,0,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.0,10,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.0,25,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.0,50,2442,5.736,1.0,1.0,0.0,True
oryza_sativa,99.0,100,2442,5.736,1.0,1.0,0.0,False
oryza_sativa,99.5,0,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,10,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,25,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,50,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.5,100,1272,2.988,0.5209,0.5209,0.0995,False
oryza_sativa,99.9,0,259,0.608,0.1061,0.1061,0.2143,False
oryza_sativa,99.9,10,259,0.608,0.1061,0.1061,0.2143,False
oryza_sativa,99.9,25,259,0.608,0.1061,0.1061,0.2143,False
oryza_sativa,99.9,50,300,0.705,0.1229,0.1229,0.197,False
oryza_sativa,99.9,100,600,1.409,0.2457,0.2457,0.1429,False
vitis_vinifera,95.0,0,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,10,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,25,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,50,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,100,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,96.0,0,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,10,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,25,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,50,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,100,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,97.0,0,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,10,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,25,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,50,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,100,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,98.0,0,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,10,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,25,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,50,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,100,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,99.0,0,2354,5.793,1.0,1.0,0.0,False
vitis_vinifera,99.0,10,2354,5.793,1.0,1.0,0.0,False
vitis_vinifera,99.0,25,2354,5.793,1.0,1.0,0.0,False
