species,percentile,top_n,n_candidates,pct_proteome,jaccard_vs_default,frac_default_retained,category_comp_L1_drift,is_default
vitis_vinifera,95.0,0,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,10,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,25,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,50,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,95.0,100,9594,23.612,0.2454,1.0,0.2735,False
vitis_vinifera,96.0,0,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,10,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,25,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,50,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,96.0,100,8229,20.253,0.2861,1.0,0.2333,False
vitis_vinifera,97.0,0,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,10,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,25,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,50,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,97.0,100,6526,16.061,0.3607,1.0,0.18,False
vitis_vinifera,98.0,0,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,10,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,25,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,50,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,98.0,100,4494,11.06,0.5238,1.0,0.1194,False
vitis_vinifera,99.0,0,2354,5.793,1.0,1.0,0.0,False
vitis_vinifera,99.0,10,2354,5.793,1.0,1.0,0.0,False
vitis_vinifera,99.0,25,2354,5.793,1.0,1.0,0.0,False
vitis_vinifera,99.0,50,2354,5.793,1.0,1.0,0.0,True
vitis_vinifera,99.0,100,2354,5.793,1.0,1.0,0.0,False
vitis_vinifera,99.5,0,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,10,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,25,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,50,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,100,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.9,0,248,0.61,0.1054,0.1054,0.3211,False
vitis_vinifera,99.9,10,248,0.61,0.1054,0.1054,0.3211,False
vitis_vinifera,99.9,25,248,0.61,0.1054,0.1054,0.3211,False
vitis_vinifera,99.9,50,300,0.738,0.1274,0.1274,0.299,False
vitis_vinifera,99.9,100,600,1.477,0.2549,0.2549,0.199,False
