protein_id,is_curated_GO,pctl_truncated,z_truncated,moderate_truncated,category_truncated,pctl_windowed_mean,z_windowed_mean,moderate_windowed_mean,category_windowed_mean,pctl_windowed_max,z_windowed_max,moderate_windowed_max,category_windowed_max,description,pctl_delta_mean,pctl_delta_max
XP_010659863.1,False,16.661,-0.4856,False,defense_signaling,76.515,0.5546,False,defense_signaling,99.132,1.3456,True,cell_death_HR,XP_010659863.1 DNA polymerase zeta catalytic subunit isoform X4 [Vitis vinifera],59.854,82.471
XP_059598918.1,False,16.661,-0.4856,False,defense_signaling,76.515,0.5546,False,defense_signaling,99.132,1.3456,True,cell_death_HR,XP_059598918.1 DNA polymerase zeta catalytic subunit isoform X4 [Vitis vinifera],59.854,82.471
XP_019080602.1,False,18.202,-0.4227,False,defense_signaling,74.173,0.5324,False,defense_signaling,99.132,1.3456,True,cell_death_HR,XP_019080602.1 DNA polymerase zeta catalytic subunit isoform X3 [Vitis vinifera],55.971,80.93
XP_010659860.1,False,20.79,-0.3314,False,defense_signaling,83.818,0.6277,False,defense_signaling,99.132,1.3456,True,cell_death_HR,XP_010659860.1 DNA polymerase zeta catalytic subunit isoform X1 [Vitis vinifera],63.028,78.342
XP_010659861.1,False,20.79,-0.3314,False,defense_signaling,65.284,0.4419,False,defense_signaling,99.023,1.3285,True,cell_death_HR,XP_010659861.1 DNA polymerase zeta catalytic subunit isoform X2 [Vitis vinifera],44.494,78.233
XP_010664765.1,False,22.312,-0.2769,False,defense_signaling,84.724,0.6389,False,defense_signaling,98.213,0.8185,False,defense_signaling,XP_010664765.1 lysine-specific histone demethylase 1 homolog 3 [Vitis vinifera],62.412,75.901
XP_059591021.1,False,21.551,-0.3052,False,defense_signaling,65.387,0.443,False,defense_signaling,85.967,0.6504,False,defense_signaling,XP_059591021.1 uncharacterized protein LOC100245350 isoform X1 [Vitis vinifera],43.836,64.416
XP_059597262.1,False,35.689,-0.0977,False,NBS_LRR,96.102,0.9088,False,NBS_LRR,97.701,1.1639,False,NBS_LRR,XP_059597262.1 probable leucine-rich repeat receptor-like protein kinase At1g35710 isoform X1 [Vitis vinifera],60.413,62.012
XP_019080307.1,False,33.082,-0.0044,False,defense_signaling,76.42,0.5538,False,defense_signaling,90.212,0.6966,False,defense_signaling,XP_019080307.1 uncharacterized protein LOC104881571 isoform X2 [Vitis vinifera],43.338,57.13
XP_019080304.1,False,33.134,-0.0031,False,defense_signaling,76.478,0.5543,False,defense_signaling,90.212,0.6966,False,defense_signaling,XP_019080304.1 uncharacterized protein LOC104881571 isoform X1 [Vitis vinifera],43.344,57.078
XP_019080305.1,False,33.134,-0.0031,False,defense_signaling,76.478,0.5543,False,defense_signaling,90.212,0.6966,False,defense_signaling,XP_019080305.1 uncharacterized protein LOC104881571 isoform X1 [Vitis vinifera],43.344,57.078
XP_010662857.1,False,26.208,-0.1688,False,defense_signaling,69.571,0.486,False,defense_signaling,80.747,0.5951,False,defense_signaling,XP_010662857.1 uncharacterized protein LOC100247074 [Vitis vinifera],43.363,54.539
XP_059597264.1,False,35.689,-0.0977,False,NBS_LRR,73.153,0.4456,False,NBS_LRR,90.127,0.8212,False,NBS_LRR,XP_059597264.1 probable leucine-rich repeat receptor-like protein kinase At1g35710 isoform X2 [Vitis vinifera],37.464,54.438
XP_059597263.1,False,35.689,-0.0977,False,NBS_LRR,73.153,0.4456,False,NBS_LRR,90.127,0.8212,False,NBS_LRR,XP_059597263.1 probable leucine-rich repeat receptor-like protein kinase At1g35710 isoform X2 [Vitis vinifera],37.464,54.438
XP_010649796.1,False,43.691,0.1867,False,defense_signaling,53.986,0.3134,False,defense_signaling,97.641,0.8046,False,defense_signaling,XP_010649796.1 chromatin structure-remodeling complex protein SYD isoform X1 [Vitis vinifera],10.295,53.95
XP_010649797.1,False,43.691,0.1867,False,defense_signaling,53.986,0.3134,False,defense_signaling,97.641,0.8046,False,defense_signaling,XP_010649797.1 chromatin structure-remodeling complex protein SYD isoform X1 [Vitis vinifera],10.295,53.95
XP_019080308.1,False,33.134,-0.0031,False,defense_signaling,73.765,0.5286,False,defense_signaling,86.412,0.6552,False,defense_signaling,XP_019080308.1 uncharacterized protein LOC104881571 isoform X3 [Vitis vinifera],40.631,53.278
XP_010649798.1,False,44.081,0.1922,False,defense_signaling,54.388,0.3181,False,defense_signaling,97.02,0.7914,False,defense_signaling,XP_010649798.1 chromatin structure-remodeling complex protein SYD isoform X2 [Vitis vinifera],10.307,52.939
XP_010647103.1,False,43.917,0.0712,False,cell_death_HR,82.862,0.7637,False,cell_death_HR,96.142,1.1388,False,cell_death_HR,"XP_010647103.1 translocase of chloroplast 120, chloroplastic [Vitis vinifera]",38.945,52.225
XP_010647096.1,False,43.917,0.0712,False,cell_death_HR,82.862,0.7637,False,cell_death_HR,96.142,1.1388,False,cell_death_HR,"XP_010647096.1 translocase of chloroplast 120, chloroplastic [Vitis vinifera]",38.945,52.225
XP_010657340.1,False,40.905,0.1456,False,defense_signaling,81.447,0.6031,False,defense_signaling,92.913,0.7289,False,defense_signaling,XP_010657340.1 histone-lysine N-methyltransferase ATXR3 [Vitis vinifera],40.542,52.008
XP_010657341.1,False,40.905,0.1456,False,defense_signaling,81.447,0.6031,False,defense_signaling,92.913,0.7289,False,defense_signaling,XP_010657341.1 histone-lysine N-methyltransferase ATXR3 [Vitis vinifera],40.542,52.008
XP_010660565.1,False,47.475,0.2385,False,defense_signaling,93.978,0.7445,False,defense_signaling,99.367,0.8636,True,defense_signaling,XP_010660565.1 auxin transport protein BIG [Vitis vinifera],46.503,51.892
XP_059592287.1,False,21.547,-0.3053,False,defense_signaling,57.666,0.356,False,defense_signaling,71.53,0.5057,False,defense_signaling,XP_059592287.1 uncharacterized protein LOC100259633 [Vitis vinifera],36.119,49.983
XP_019080156.2,False,47.029,0.0767,False,NBS_LRR,92.789,0.8705,False,NBS_LRR,96.803,1.0604,False,NBS_LRR,XP_019080156.2 LOW QUALITY PROTEIN: probable leucine-rich repeat receptor-like protein kinase At1g35710 [Vitis vinifera],45.76,49.774
XP_010658598.1,False,25.475,-0.1878,False,defense_signaling,54.509,0.3196,False,defense_signaling,74.783,0.5372,False,defense_signaling,XP_010658598.1 uncharacterized protein LOC100253034 [Vitis vinifera],29.034,49.308
XP_010665035.1,False,49.168,0.2567,False,defense_signaling,87.096,0.6638,False,defense_signaling,97.853,0.8107,False,defense_signaling,XP_010665035.1 DNA (cytosine-5)-methyltransferase CMT2 isoform X2 [Vitis vinifera],37.928,48.685
XP_010665031.1,False,49.441,0.2606,False,defense_signaling,87.269,0.6656,False,defense_signaling,97.853,0.8107,False,defense_signaling,XP_010665031.1 DNA (cytosine-5)-methyltransferase CMT2 isoform X1 [Vitis vinifera],37.828,48.412
XP_059592184.1,False,30.481,-0.0819,False,defense_signaling,78.0,0.6723,False,cell_death_HR,78.817,0.6704,False,antimicrobial,XP_059592184.1 helicase and polymerase-containing protein TEBICHI isoform X2 [Vitis vinifera],47.519,48.336
XP_019073139.2,False,36.592,0.066,False,defense_signaling,57.826,0.3155,False,defense_signaling,80.549,0.611,False,cell_death_HR,XP_019073139.2 helicase-like transcription factor CHR28 isoform X2 [Vitis vinifera],21.234,43.957
XP_059593661.1,False,12.918,-0.6776,False,defense_signaling,32.275,-0.0232,False,defense_signaling,56.608,0.3424,False,defense_signaling,XP_059593661.1 LOW QUALITY PROTEIN: protein Ycf2-like [Vitis vinifera],19.357,43.69
XP_059592185.1,False,30.279,-0.2289,False,cell_death_HR,72.76,0.5803,False,cell_death_HR,73.515,0.5927,False,cell_death_HR,XP_059592185.1 helicase and polymerase-containing protein TEBICHI isoform X3 [Vitis vinifera],42.481,43.236
XP_010653854.1,False,43.038,0.0537,False,cell_death_HR,64.609,0.4373,False,cell_death_HR,86.169,0.8316,False,cell_death_HR,XP_010653854.1 rRNA biogenesis protein RRP5 [Vitis vinifera],21.571,43.131
XP_010648534.1,False,30.481,-0.0819,False,defense_signaling,69.86,0.5305,False,cell_death_HR,73.515,0.5927,False,cell_death_HR,XP_010648534.1 helicase and polymerase-containing protein TEBICHI isoform X1 [Vitis vinifera],39.379,43.034
XP_019074908.1,False,30.481,-0.0819,False,defense_signaling,69.86,0.5305,False,cell_death_HR,73.515,0.5927,False,cell_death_HR,XP_019074908.1 helicase and polymerase-containing protein TEBICHI isoform X1 [Vitis vinifera],39.379,43.034
XP_059592183.1,False,30.481,-0.0819,False,defense_signaling,69.86,0.5305,False,cell_death_HR,73.515,0.5927,False,cell_death_HR,XP_059592183.1 helicase and polymerase-containing protein TEBICHI isoform X1 [Vitis vinifera],39.379,43.034
XP_059592182.1,False,30.481,-0.0819,False,defense_signaling,69.86,0.5305,False,cell_death_HR,73.515,0.5927,False,cell_death_HR,XP_059592182.1 helicase and polymerase-containing protein TEBICHI isoform X1 [Vitis vinifera],39.379,43.034
XP_002263027.4,False,37.877,0.0912,False,defense_signaling,57.531,0.3361,False,defense_signaling,80.549,0.611,False,cell_death_HR,XP_002263027.4 helicase-like transcription factor CHR28 isoform X1 [Vitis vinifera],19.654,42.672
XP_059593054.1,False,47.706,0.1393,False,cell_death_HR,72.002,0.5674,False,cell_death_HR,89.341,0.7077,False,cell_death_HR,XP_059593054.1 uncharacterized protein LOC100262484 [Vitis vinifera],24.296,41.635
XP_002276245.2,False,55.474,0.3327,False,defense_signaling,94.817,0.7565,False,defense_signaling,97.052,0.7919,False,defense_signaling,XP_002276245.2 ATP-dependent helicase BRM [Vitis vinifera],39.343,41.578
YP_567121.1,False,14.007,-0.6106,False,defense_signaling,32.202,-0.0246,False,defense_signaling,54.276,0.3155,False,defense_signaling,YP_567121.1 Ycf2 (chloroplast) [Vitis vinifera],18.195,40.269
YP_567140.1,False,14.007,-0.6106,False,defense_signaling,32.202,-0.0246,False,defense_signaling,54.276,0.3155,False,defense_signaling,YP_567140.1 Ycf2 (chloroplast) [Vitis vinifera],18.195,40.269
XP_010665041.1,False,53.948,0.3143,False,defense_signaling,81.323,0.6014,False,defense_signaling,92.602,0.7245,False,defense_signaling,XP_010665041.1 DNA (cytosine-5)-methyltransferase CMT2 isoform X3 [Vitis vinifera],27.375,38.654
XP_059590007.1,False,56.364,0.3427,False,defense_signaling,80.71,0.5952,False,defense_signaling,94.693,0.7538,False,defense_signaling,XP_059590007.1 uncharacterized protein LOC100855390 isoform X3 [Vitis vinifera],24.346,38.329
XP_010655213.1,False,61.474,0.4018,False,defense_signaling,98.878,0.8454,False,defense_signaling,99.564,0.934,True,cell_death_HR,XP_010655213.1 histone acetyltransferase HAC1 [Vitis vinifera],37.404,38.09
XP_059590012.1,False,59.358,0.3793,False,defense_signaling,86.758,0.6595,False,defense_signaling,94.693,0.7538,False,defense_signaling,XP_059590012.1 uncharacterized protein LOC100855390 isoform X5 [Vitis vinifera],27.4,35.335
XP_059590010.1,False,59.358,0.3793,False,defense_signaling,86.758,0.6595,False,defense_signaling,94.693,0.7538,False,defense_signaling,XP_059590010.1 uncharacterized protein LOC100855390 isoform X5 [Vitis vinifera],27.4,35.335
XP_059591022.1,False,21.551,-0.3052,False,defense_signaling,43.768,0.1844,False,defense_signaling,56.79,0.3448,False,defense_signaling,XP_059591022.1 uncharacterized protein LOC100245350 isoform X2 [Vitis vinifera],22.217,35.239
XP_010651385.1,False,60.689,0.3933,False,defense_signaling,92.823,0.7278,False,defense_signaling,95.048,0.7592,False,defense_signaling,XP_010651385.1 calpain-type cysteine protease DEK1 [Vitis vinifera],32.134,34.359
XP_002285732.1,False,60.689,0.3933,False,defense_signaling,92.823,0.7278,False,defense_signaling,95.048,0.7592,False,defense_signaling,XP_002285732.1 calpain-type cysteine protease DEK1 [Vitis vinifera],32.134,34.359
XP_010651386.1,False,60.689,0.3933,False,defense_signaling,92.823,0.7278,False,defense_signaling,95.048,0.7592,False,defense_signaling,XP_010651386.1 calpain-type cysteine protease DEK1 [Vitis vinifera],32.134,34.359
XP_010654228.1,False,59.03,0.3422,False,cell_death_HR,89.398,0.9106,False,cell_death_HR,93.188,1.015,False,cell_death_HR,"XP_010654228.1 protein PHYLLO, chloroplastic isoform X3 [Vitis vinifera]",30.368,34.158
XP_010652102.1,False,64.479,0.4361,False,defense_signaling,86.247,0.6539,False,defense_signaling,97.365,0.7989,False,defense_signaling,XP_010652102.1 piezo-type mechanosensitive ion channel homolog isoform X2 [Vitis vinifera],21.768,32.886
XP_002273318.1,False,19.271,-0.5856,False,cell_death_HR,35.423,-0.1018,False,cell_death_HR,52.151,0.2184,False,cell_death_HR,XP_002273318.1 structural maintenance of chromosomes protein 3 [Vitis vinifera],16.152,32.88
XP_002283071.1,False,38.412,0.1015,False,defense_signaling,55.789,0.3337,False,defense_signaling,70.755,0.4981,False,defense_signaling,XP_002283071.1 increased DNA methylation 1 isoform X1 [Vitis vinifera],17.377,32.343
XP_002273767.1,False,25.428,-0.3754,False,cell_death_HR,42.882,0.0488,False,cell_death_HR,56.881,0.3026,False,cell_death_HR,XP_002273767.1 peroxisomal ATPase PEX1 isoform X1 [Vitis vinifera],17.454,31.453
XP_019076912.1,False,61.976,0.2989,False,cell_death_HR,90.992,0.9494,False,cell_death_HR,93.188,1.015,False,cell_death_HR,"XP_019076912.1 protein PHYLLO, chloroplastic isoform X2 [Vitis vinifera]",29.016,31.212
XP_010644441.1,False,55.407,0.3319,False,defense_signaling,71.85,0.5093,False,defense_signaling,86.546,0.6571,False,defense_signaling,XP_010644441.1 uncharacterized protein LOC100264016 isoform X3 [Vitis vinifera],16.443,31.139
XP_010663180.1,False,67.722,0.4702,False,defense_signaling,98.725,0.8383,False,defense_signaling,98.547,1.2831,False,cell_death_HR,XP_010663180.1 serine/threonine-protein kinase ATM isoform X4 [Vitis vinifera],31.003,30.825
XP_059598646.1,False,68.463,0.5064,False,cell_death_HR,83.83,0.763,False,antimicrobial,99.188,0.8586,True,defense_signaling,XP_059598646.1 nuclear pore complex protein GP210 [Vitis vinifera],15.367,30.725
XP_010663178.1,False,67.939,0.4725,False,defense_signaling,98.577,0.8335,False,defense_signaling,98.547,1.2831,False,cell_death_HR,XP_010663178.1 serine/threonine-protein kinase ATM isoform X2 [Vitis vinifera],30.638,30.608
XP_010663177.1,False,67.939,0.4725,False,defense_signaling,98.565,0.8333,False,defense_signaling,98.547,1.2831,False,cell_death_HR,XP_010663177.1 serine/threonine-protein kinase ATM isoform X1 [Vitis vinifera],30.626,30.608
XP_010663179.1,False,67.939,0.4725,False,defense_signaling,98.422,0.8292,False,defense_signaling,98.547,1.2831,False,cell_death_HR,XP_010663179.1 serine/threonine-protein kinase ATM isoform X3 [Vitis vinifera],30.483,30.608
XP_002269466.2,False,39.201,0.114,False,defense_signaling,63.307,0.4204,False,defense_signaling,69.63,0.5249,False,cell_death_HR,XP_002269466.2 eukaryotic translation initiation factor 4G isoform X1 [Vitis vinifera],24.106,30.429
XP_059599178.1,False,39.201,0.114,False,defense_signaling,63.307,0.4204,False,defense_signaling,69.63,0.5249,False,cell_death_HR,XP_059599178.1 eukaryotic translation initiation factor 4G isoform X1 [Vitis vinifera],24.106,30.429
XP_059599179.1,False,39.201,0.114,False,defense_signaling,63.307,0.4204,False,defense_signaling,69.63,0.5249,False,cell_death_HR,XP_059599179.1 eukaryotic translation initiation factor 4G isoform X1 [Vitis vinifera],24.106,30.429
XP_010663181.1,False,67.939,0.4725,False,defense_signaling,97.18,0.7964,False,defense_signaling,98.319,0.8221,False,defense_signaling,XP_010663181.1 serine/threonine-protein kinase ATM isoform X5 [Vitis vinifera],29.241,30.38
XP_019082039.1,False,67.939,0.4725,False,defense_signaling,97.143,0.7953,False,defense_signaling,98.319,0.8221,False,defense_signaling,XP_019082039.1 serine/threonine-protein kinase ATM isoform X6 [Vitis vinifera],29.204,30.38
XP_010654221.1,False,63.014,0.2988,False,NBS_LRR,90.579,0.9387,False,cell_death_HR,93.188,1.015,False,cell_death_HR,"XP_010654221.1 protein PHYLLO, chloroplastic isoform X1 [Vitis vinifera]",27.565,30.174
