pid,score
NP_001077742,1217.1529541015625
NP_683441,1217.1529541015625
NP_001031207,1175.466552734375
NP_001185265,1175.466552734375
NP_001323213,1175.466552734375
NP_176153,1175.466552734375
NP_683447,1175.466552734375
NP_001322914,1151.1820068359375
NP_683446,1151.1820068359375
NP_001331068,1061.3536376953125
NP_001331069,1061.3536376953125
NP_001331070,1061.3536376953125
NP_001331071,1061.3536376953125
NP_001331072,1061.3536376953125
NP_199673,1061.3536376953125
NP_001318736,1055.76708984375
NP_001332592,1055.76708984375
NP_199160,1055.76708984375
NP_851124,1055.76708984375
NP_187360,1045.0091552734375
NP_001322397,1018.638671875
NP_001322398,1018.638671875
NP_564971,1431.0758056640625
NP_001332515,1015.0386962890625
NP_198395,1015.0386962890625
NP_001319265,1008.4096069335938
NP_176135,1008.4096069335938
NP_001319213,1005.8733520507812
NP_001319267,1000.0704345703125
NP_001323309,1000.0704345703125
NP_176137,1000.0704345703125
NP_001319266,983.8539428710938
NP_001117515,975.86328125
NP_176151,975.86328125
NP_001319272,960.947265625
NP_001328019,2072.96142578125
NP_849398,2146.200439453125
NP_001328022,2231.950927734375
NP_193428,2247.25341796875
NP_001323308,914.1025390625
NP_176187,898.6845092773438
NP_001322497,897.8526000976562
NP_001329721,2072.671875
NP_001319970,2072.5810546875
NP_193425,1923.829833984375
NP_001329036,1925.348876953125
NP_001329041,1855.948974609375
NP_001329039,1856.5572509765625
NP_001329040,1856.5572509765625
NP_001329038,1913.7208251953125
NP_001329042,1913.7208251953125
NP_001329037,1913.69482421875
NP_001329043,1913.69482421875
NP_001328020,2099.942138671875
NP_001328021,2111.638671875
NP_001329719,2000.0517578125
NP_193420,1555.032470703125
NP_001323706,1237.00048828125
NP_179024,1395.8134765625
NP_001328661,1282.0687255859375
NP_001319642,1168.3433837890625
NP_001326498,1168.3433837890625
NP_001318538,1367.2078857421875
NP_001332026,1367.2078857421875
NP_196686,1414.207763671875
NP_001320323,753.7930297851562
NP_001117266,748.745849609375
NP_001322203,748.745849609375
NP_172561,748.745849609375
NP_001330712,1288.3033447265625
NP_001330714,1277.9144287109375
NP_001330713,1265.0137939453125
NP_199264,1284.8660888671875
NP_001329720,1830.1766357421875
NP_001078237,1257.62890625
NP_190053,1257.62890625
NP_001331467,1396.9683837890625
NP_001326422,1346.52294921875
NP_001326419,1346.5020751953125
NP_190034,1346.5020751953125
NP_001326420,1346.7017822265625
NP_001326421,1346.7017822265625
NP_001330480,1196.638671875
NP_197270,1391.7474365234375
NP_001322559,1007.236328125
NP_001322562,1007.236328125
NP_199976,1348.4483642578125
NP_175437,719.3502807617188
NP_851172,1446.9521484375
NP_001330479,1345.2674560546875
NP_001330481,1345.2674560546875
NP_001327594,1320.9703369140625
NP_190049,1320.9703369140625
NP_850654,1320.9703369140625
NP_850655,1320.7939453125
NP_001329722,1569.750244140625
NP_001329216,1291.3765869140625
NP_192585,1292.3018798828125
NP_001319971,1256.540283203125
NP_193427,1428.656982421875
NP_001328968,1430.329833984375
NP_001328966,1588.158447265625
NP_001328967,1596.06982421875
