protein_id,pid,ESM2,alignment,domain,z_max,esm_category,refseq_keyword,description
NP_001030614.1,NP_001030614,True,False,False,1.345,antimicrobial,False,NP_001030614.1 Phosphoglycerate mutase-like family protein [Arabidopsis thaliana]
NP_001030632.1,NP_001030632,False,False,False,0.624,PR_proteins,False,NP_001030632.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001030636.1,NP_001030636,False,False,False,0.469,defense_signaling,True,NP_001030636.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001030638.1,NP_001030638,False,False,False,0.423,RLK_defense,False,NP_001030638.1 low-molecular-weight cysteine-rich 41 [Arabidopsis thaliana]
NP_001030639.1,NP_001030639,False,False,False,0.551,RLK_defense,False,NP_001030639.1 low-molecular-weight cysteine-rich 18 [Arabidopsis thaliana]
NP_001030645.1,NP_001030645,False,False,False,0.294,RLK_defense,False,NP_001030645.1 S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family [Arabidopsis thaliana]
NP_001030652.1,NP_001030652,False,False,False,0.53,RLK_defense,False,NP_001030652.1 low-molecular-weight cysteine-rich 44 [Arabidopsis thaliana]
NP_001030653.1,NP_001030653,False,False,False,0.435,defense_signaling,False,NP_001030653.1 low-molecular-weight cysteine-rich 43 [Arabidopsis thaliana]
NP_001030660.1,NP_001030660,False,False,False,1.265,cell_death_HR,False,NP_001030660.1 phospholipase C 2 [Arabidopsis thaliana]
NP_001030667.1,NP_001030667,False,False,False,0.453,defense_signaling,False,NP_001030667.1 Putative membrane lipoprotein [Arabidopsis thaliana]
NP_001030677.1,NP_001030677,False,False,False,0.673,defense_signaling,False,NP_001030677.1 Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_001030686.1,NP_001030686,False,False,False,-1.458,defense_signaling,True,NP_001030686.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001030715.1,NP_001030715,False,False,False,0.508,RLK_defense,False,NP_001030715.1 Cysteine-rich protein [Arabidopsis thaliana]
NP_001030736.1,NP_001030736,False,False,False,0.659,PR_proteins,False,NP_001030736.1 low-molecular-weight cysteine-rich 56 [Arabidopsis thaliana]
NP_001030737.1,NP_001030737,False,False,False,0.592,RLK_defense,False,NP_001030737.1 low-molecular-weight cysteine-rich 55 [Arabidopsis thaliana]
NP_001030745.1,NP_001030745,False,False,False,0.48,RLK_defense,False,NP_001030745.1 low-molecular-weight cysteine-rich 42 [Arabidopsis thaliana]
NP_001030746.1,NP_001030746,False,False,False,0.472,defense_signaling,False,NP_001030746.1 low-molecular-weight cysteine-rich 39 [Arabidopsis thaliana]
NP_001030751.1,NP_001030751,False,False,False,0.498,defense_signaling,False,NP_001030751.1 SCR-like 13 [Arabidopsis thaliana]
NP_001030752.1,NP_001030752,False,False,False,0.421,defense_signaling,False,NP_001030752.1 SCR-like 12 [Arabidopsis thaliana]
NP_001030759.1,NP_001030759,False,False,False,0.579,RLK_defense,True,NP_001030759.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001030760.1,NP_001030760,False,False,False,0.426,RLK_defense,True,NP_001030760.1 defensin-like protein [Arabidopsis thaliana]
NP_001030763.1,NP_001030763,False,False,False,0.403,defense_signaling,False,NP_001030763.1 low-molecular-weight cysteine-rich 4 [Arabidopsis thaliana]
NP_001030770.1,NP_001030770,False,False,False,1.193,cell_death_HR,False,NP_001030770.1 Protein phosphatase 2A regulatory B subunit family protein [Arabidopsis thaliana]
NP_001030783.1,NP_001030783,False,False,False,0.417,defense_signaling,False,NP_001030783.1 SCR-like 19 [Arabidopsis thaliana]
NP_001030785.1,NP_001030785,False,False,False,0.582,RLK_defense,False,NP_001030785.1 Gamma-thionin family protein [Arabidopsis thaliana]
NP_001030786.1,NP_001030786,False,False,False,0.645,RLK_defense,False,NP_001030786.1 Gamma-thionin family protein [Arabidopsis thaliana]
NP_001030790.3,NP_001030790,False,True,False,1.356,RLK_defense,True,NP_001030790.3 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001030797.1,NP_001030797,False,False,False,-1.198,defense_signaling,True,NP_001030797.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001030800.2,NP_001030800,False,False,False,0.497,RLK_defense,False,NP_001030800.2 low-molecular-weight cysteine-rich 47 [Arabidopsis thaliana]
NP_001030801.1,NP_001030801,False,False,False,0.51,defense_signaling,False,NP_001030801.1 low-molecular-weight cysteine-rich 33 [Arabidopsis thaliana]
NP_001030802.1,NP_001030802,False,False,False,0.599,RLK_defense,False,NP_001030802.1 low-molecular-weight cysteine-rich 30 [Arabidopsis thaliana]
NP_001030803.1,NP_001030803,False,False,False,0.456,RLK_defense,False,NP_001030803.1 Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]
NP_001030810.1,NP_001030810,False,False,False,0.555,defense_signaling,True,NP_001030810.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001030829.1,NP_001030829,False,True,False,0.907,defense_signaling,False,NP_001030829.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]
NP_001030830.1,NP_001030830,False,False,False,0.493,RLK_defense,False,NP_001030830.1 low-molecular-weight cysteine-rich 48 [Arabidopsis thaliana]
NP_001030836.1,NP_001030836,False,False,False,0.483,defense_signaling,True,NP_001030836.1 Defensin-like (DEFL) family protein [Arabidopsis thaliana]
NP_001030878.1,NP_001030878,False,False,False,1.117,NBS_LRR,True,NP_001030878.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001030879.1,NP_001030879,False,False,False,1.432,NBS_LRR,True,NP_001030879.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001030880.1,NP_001030880,False,False,False,1.432,NBS_LRR,True,NP_001030880.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001030909.1,NP_001030909,False,False,False,0.507,RLK_defense,False,NP_001030909.1 low-molecular-weight cysteine-rich 8 [Arabidopsis thaliana]
NP_001030910.1,NP_001030910,False,False,False,0.512,RLK_defense,False,NP_001030910.1 low-molecular-weight cysteine-rich 52 [Arabidopsis thaliana]
NP_001030911.1,NP_001030911,False,False,False,0.577,PR_proteins,False,NP_001030911.1 low-molecular-weight cysteine-rich 53 [Arabidopsis thaliana]
NP_001030912.1,NP_001030912,False,False,False,0.507,RLK_defense,False,NP_001030912.1 low-molecular-weight cysteine-rich 54 [Arabidopsis thaliana]
NP_001030914.1,NP_001030914,False,False,False,0.814,antimicrobial,False,NP_001030914.1 AUTOPHAGY 6 [Arabidopsis thaliana]
NP_001030952.1,NP_001030952,False,False,False,0.671,PR_proteins,False,NP_001030952.1 low-molecular-weight cysteine-rich 73 [Arabidopsis thaliana]
NP_001030958.1,NP_001030958,False,False,False,1.128,cell_death_HR,False,NP_001030958.1 MOS4-associated complex 3A [Arabidopsis thaliana]
NP_001030967.1,NP_001030967,False,False,False,0.493,defense_signaling,False,NP_001030967.1 Cysteine-rich protein [Arabidopsis thaliana]
