Entry	RefSeq
A0JQ18	NP_173702.1;
A0MES8	NP_181551.1;
A1L4X0	NP_001190820.1 [A1L4X0-1];NP_194177.2 [A1L4X0-1];
A7XGN8	
A8MQL1	NP_001077454.1 [A8MQL1-2];NP_001077455.1 [A8MQL1-1];
A8R7E6	NP_566689.2;
A9LNK9	NP_174334.2 [A9LNK9-1];
A9QM73	NP_001190336.1;NP_001190337.1;NP_197441.3;
B3H7I1	NP_001119372.1;
B5TYT3	NP_001320706.1;NP_172660.5;
C0LGG6	
C0LGH3	
C0LGJ1	
C0LGN2	NP_188102.5 [C0LGN2-1];NP_566494.1 [C0LGN2-2];
C0LGT1	NP_196591.2;
C0LGT6	NP_001318610.1;NP_197548.1;
C0LGX3	NP_201372.2;
C0LU16	NP_192387.2;
C4B7M5	
C5I9W9	
C6KIE6	NP_195165.2;
D7SFH9	NP_176870.2 [D7SFH9-1];
E1B328	
F4HRJ4	NP_001031181.1 [F4HRJ4-3];NP_001185211.1 [F4HRJ4-2];NP_001185212.1 [F4HRJ4-4];NP_564635.1 [F4HRJ4-1];NP_849803.1 [F4HRJ4-3];
F4HT77	NP_175170.1;
F4HVW5	NP_171714.2;
F4HVY0	NP_001184890.1 [F4HVY0-2];NP_171723.2 [F4HVY0-1];NP_850932.2 [F4HVY0-3];
F4HX15	
F4HXL0	NP_563660.1;
F4I1S7	NP_175377.2 [F4I1S7-1];
F4I2N7	NP_172468.3 [F4I2N7-1];NP_850942.1 [F4I2N7-2];
F4I316	NP_683323.2;
F4I893	NP_001185313.1 [F4I893-1];NP_176659.6 [F4I893-2];
F4IB81	NP_175606.2;
F4ICB6	NP_001321210.1 [F4ICB6-2];NP_173302.2 [F4ICB6-1];
F4ICX9	NP_564607.1 [F4ICX9-2];NP_849797.1 [F4ICX9-1];
F4IDI6	NP_565200.1 [F4IDI6-1];NP_974174.1 [F4IDI6-2];
F4IHS2	NP_001077971.1 [F4IHS2-2];NP_001325347.1 [F4IHS2-2];NP_850116.1 [F4IHS2-1];NP_850117.1 [F4IHS2-3];
F4IS56	NP_181913.3 [F4IS56-1];NP_973683.1 [F4IS56-2];
F4IUX6	NP_181459.4;
F4IXW2	NP_001190006.1;NP_001327198.1 [F4IXW2-1];NP_189916.4;
F4J0D2	NP_001030790.3;NP_189510.2;
F4J339	NP_001326419.1;NP_190034.2;
F4J8C6	NP_001030614.1 [F4J8C6-1];
F4JRS4	NP_194227.2;
F4JS25	NP_195462.3 [F4JS25-1];
F4JSE7	NP_001190769.1 [F4JSE7-3];NP_193639.2 [F4JSE7-1];
F4JY12	NP_974804.4;
F4JZW1	NP_198408.2;
F4K0E8	NP_200868.2 [F4K0E8-2];NP_851233.1 [F4K0E8-1];
F4K2E9	NP_196805.2;
F4K2R6	NP_001190408.1 [F4K2R6-2];NP_198044.2 [F4K2R6-1];
F4K3G5	NP_001190545.1;NP_001332152.1;NP_200350.2;
F4KAF2	NP_199891.4;
F4KCC2	NP_001318457.1;NP_195851.2;
F4KHI3	NP_199464.2;
F8S296	NP_001327751.1;NP_001327752.1;NP_188550.3;
O04023	NP_563835.1;
O04153	NP_563816.1 [O04153-1];
O04197	NP_565919.1;
O04294	NP_192124.1;
O04331	NP_198893.1;
O04379	NP_001185169.1 [O04379-2];NP_175274.1 [O04379-1];NP_849784.1 [O04379-2];
O04468	NP_564855.1;
O04529	NP_177174.1;
O22149	NP_566038.1;
O22218	NP_181687.1;
O22259	NP_182274.1;
O22287	NP_001189713.1;NP_001325272.1;NP_181507.1;
O22446	NP_195526.1 [O22446-1];
O22527	NP_564094.1;
O22607	NP_565456.2;
O22752	NP_179335.3;
O22763	NP_001329303.1 [O22763-2];NP_192173.1 [O22763-1];NP_849290.1 [O22763-3];
O22785	NP_850206.4 [O22785-1];NP_850207.4 [O22785-1];
O22788	NP_001031472.1 [O22788-2];NP_180896.1 [O22788-1];
O22808	NP_180916.1;
O22832	NP_181899.1 [O22832-1];
O22833	NP_181898.1;
O23066	NP_191946.1;
O23171	NP_195432.1;
O23179	NP_568015.1 [O23179-2];NP_849511.1 [O23179-1];NP_849512.3 [O23179-2];
O23180	NP_195423.1 [O23180-1];
O23181	NP_195422.3;
O23252	
O23530	NP_001319970.1 [O23530-2];
O24412	NP_196197.1 [O24412-1];
O24527	NP_564955.1 [O24527-1];NP_849865.1 [O24527-2];
O24603	NP_181885.1;
O24606	NP_188713.1;
O48533	NP_001324441.1;NP_181755.1;
O48538	
O48573	NP_199300.1;
O48676	NP_173820.1 [O48676-1];
O48682	NP_001319073.1;
O48723	
O48814	NP_181496.1;
O48849	NP_180827.1;
O48915	NP_188696.1;
O49006	NP_188048.1;
O49339	NP_001318322.1;NP_001324937.1;NP_001324938.1;NP_001324939.1;NP_001324940.1;NP_001324941.1;NP_001324942.1;NP_001324943.1;NP_001324944.1;NP_001324945.1;NP_001324946.1;NP_001324947.1;NP_001324948.1;NP_001324949.1;NP_001324950.1;
O49340	NP_180633.3;
O49342	NP_180635.3;
O49394	NP_194925.1;
O49687	NP_193522.1;
O49782	NP_173292.1;
O49839	NP_172889.1;
O49840	NP_178383.1;NP_973403.1;
O64399	NP_200897.1;
O64483	NP_179509.1;
O64517	NP_178052.1;
O64587	NP_181016.1;
O64763	NP_181045.1;
O64782	NP_564775.1;
O64783	
O64784	
O64825	NP_179957.1;
O64883	NP_181977.1;
O64973	NP_001184970.1;NP_172686.1;
O65359	NP_001031950.1;NP_001331924.1;NP_198050.1;
O65378	
O65479	NP_001320044.1;
O65718	NP_197045.1 [O65718-1];
O65782	NP_194878.1;
O80337	NP_567530.4;
O80338	NP_199533.1;
O80339	NP_175479.1 [O80339-1];
O80340	NP_188139.1;
O80341	NP_568679.1;
O80396	NP_001318713.1;NP_198860.1;
O80397	NP_175577.1;
O80449	NP_181359.1;
O80472	NP_179937.1;
O80822	NP_181679.4;
O80837	NP_182106.1;
O80852	NP_001077983.1 [O80852-2];NP_180643.1 [O80852-1];
O80871	
O80931	NP_181299.1;
O80939	NP_181307.1;
O81209	NP_196356.1 [O81209-1];
O81210	NP_199919.1;
O81270	NP_194404.1;
O81291	NP_567234.1;
O81346	NP_195705.1;
O81472	NP_192588.1;
O81833	NP_194460.1;
O81851	NP_193705.1;
O81905	NP_193869.1;
O82345	NP_182147.1;
O82504	NP_192851.1;
O82656	NP_001031266.1 [O82656-1];NP_177331.1 [O82656-1];
P0DH86	
P0DI76	
P0DI77	
P0DKH5	NP_001078715.1 [P0DKH5-2];NP_001318742.1 [P0DKH5-2];NP_199339.2 [P0DKH5-1];
P14713	NP_179469.1;
P19171	
P19172	NP_197797.1;
P19366	NP_051066.1;
P21240	
P22953	NP_195870.1 [P22953-1];
P24101	NP_190480.1;
P24704	NP_001077494.1;NP_172360.1;
P25070	NP_001318691.1;NP_198593.1;
P27140	NP_186799.2 [P27140-1];NP_850490.1 [P27140-3];NP_850491.1 [P27140-2];
P27323	
P31168	NP_173468.1;
P33157	
P34790	NP_195585.1;
P34795	NP_001332180.1;NP_199088.1;
P35510	NP_181241.1;
P37702	NP_197972.2 [P37702-2];NP_851077.1 [P37702-1];
P41916	
P42742	NP_001190146.1 [P42742-1];NP_191641.1 [P42742-1];
P42760	NP_001184893.1;NP_171792.1;
P43082	NP_187123.1;
P43273	NP_001031845.1;NP_001078539.1;NP_001331392.1;NP_196312.1;NP_974744.1;
P43296	NP_568052.1;
P43297	NP_564497.1;
P45724	NP_190894.1;
P45725	NP_001190223.1;NP_196043.2 [P45725-1];
P46309	NP_001190808.1 [P46309-1];NP_194041.1 [P46309-1];
P46422	NP_192161.1;
P46573	NP_001031439.1 [P46573-1];
P47735	NP_194578.1;
P48578	NP_567066.1;
P48785	NP_194723.1 [P48785-1];
P49177	
P49333	NP_176808.3;
P49598	NP_187748.1;
P51818	NP_200412.1;
P52839	NP_178471.1;
P55737	NP_200414.1 [P55737-1];
P59220	NP_189967.1;
P60838	NP_172692.1;
P84634	NP_197532.3 [P84634-1];
P92948	NP_172448.1;
P92983	NP_001319672.1;NP_189701.3;
P93002	NP_176610.1;
P93733	NP_565963.2;
P94077	NP_001031678.1 [P94077-2];NP_001031679.1 [P94077-2];NP_001031680.2 [P94077-2];NP_001078413.1 [P94077-1];NP_567599.3 [P94077-2];NP_849548.1 [P94077-2];NP_849549.1 [P94077-1];
Q03250	NP_179760.1 [Q03250-1];
Q03251	NP_195637.1 [Q03251-1];
Q04836	NP_001328008.1 [Q04836-1];NP_194208.1 [Q04836-1];
Q06327	NP_175900.1;
Q06548	NP_001320608.1 [Q06548-1];NP_172237.1 [Q06548-1];NP_973778.1 [Q06548-1];
Q06588	
Q06915	NP_193144.1;
Q0PW40	NP_001078435.1 [Q0PW40-1];NP_001329248.1 [Q0PW40-2];NP_194052.2 [Q0PW40-3];NP_849427.1 [Q0PW40-2];
Q0WL80	NP_001185370.1 [Q0WL80-2];NP_177278.3 [Q0WL80-1];
Q0WNP7	NP_182113.2;
Q0WNY5	NP_194840.3;
Q0WP12	NP_181919.1 [Q0WP12-1];
Q0WPK4	NP_001320315.1;NP_565199.1;NP_849904.1;
Q0WSX8	NP_851131.1;
Q0WW17	NP_001078116.1 [Q0WW17-4];NP_001118592.1 [Q0WW17-2];NP_187307.3 [Q0WW17-1];
Q1JPL7	
Q1PDV6	NP_001190331.1;NP_001318594.1;NP_197362.1;
Q1PE89	NP_193055.2;
Q24JJ8	
Q24JK1	NP_201053.2 [Q24JK1-1];NP_851248.1 [Q24JK1-2];
Q2V3L3	NP_001031589.1 [Q2V3L3-2];NP_849323.1 [Q2V3L3-1];
Q38834	NP_190664.1;NP_850677.1;
Q38845	NP_173920.1;
Q38862	NP_179812.1 [Q38862-1];
Q38913	NP_565143.1;NP_849895.1;
Q39008	NP_192590.1;
Q39023	NP_190150.1;
Q39024	NP_192046.1;
Q39026	NP_181907.1;
Q39027	NP_179409.1;
Q39033	NP_001030660.1 [Q39033-1];NP_187464.1 [Q39033-1];
Q39086	NP_176755.1 [Q39086-1];
Q39134	NP_177862.1;
Q39140	NP_001326019.1 [Q39140-1];NP_001326020.1 [Q39140-1];NP_566415.3 [Q39140-1];NP_974292.1 [Q39140-1];NP_974293.1 [Q39140-2];
Q39163	NP_196313.1;NP_974745.1;
Q39176	NP_192985.1;
Q39191	NP_564137.1;
Q39214	NP_187360.1;
Q39234	NP_564156.1;
Q39237	NP_001032147.1 [Q39237-1];NP_001032148.1 [Q39237-1];NP_001032149.1 [Q39237-1];NP_001318881.1 [Q39237-1];NP_201324.1 [Q39237-1];NP_851273.1 [Q39237-1];
Q39241	NP_175128.1;
Q3EBC8	
Q3EDG5	NP_001320287.1 [Q3EDG5-1];NP_563804.4 [Q3EDG5-1];
Q3S4A7	NP_196633.2;
Q41931	NP_176428.1;
Q42112	NP_187531.1 [Q42112-1];
Q42371	NP_180201.1;
Q42384	NP_193325.1;
Q42403	NP_199112.1;
Q42418	NP_194664.1;
Q42449	NP_179566.1;
Q42484	NP_194339.1;
Q42529	NP_567004.1;
Q42578	NP_196290.1;
Q42580	NP_181250.1 [Q42580-1];
Q43125	NP_567341.1;
Q43387	NP_201217.1;
Q43866	
Q4F883	NP_568307.3 [Q4F883-1];NP_851039.1 [Q4F883-2];
Q501D8	NP_001323954.1;NP_179820.2;
Q56WV9	NP_001331891.1;NP_199270.1;
Q56Y74	NP_173344.2;
Q570C0	NP_567135.1;
Q570K8	NP_001078710.1;
Q58G47	NP_175283.2 [Q58G47-1];
Q5D869	NP_181532.2;
Q5FV35	NP_195351.2;
Q5ICL9	NP_001328027.1;NP_193701.2;
Q5S2C4	NP_001031485.1 [Q5S2C4-2];NP_181056.2 [Q5S2C4-1];
Q5XF51	NP_173824.2;
