protein_id,blastp_default,blastp_filteroff,psiblast_default,psiblast_filteroff
NP_001030613.1,0.0,0.0,0.0,0.0
NP_001030614.1,0.0,0.0,0.0,0.0
NP_001030615.2,0.0,0.0,0.0,0.0
NP_001030616.1,0.0,0.0,0.0,0.0
NP_001030617.1,0.0,0.0,0.0,0.0
NP_001030619.1,0.0,0.0,0.0,0.0
NP_001030620.1,0.0,0.0,0.0,0.0
NP_001030621.1,0.0,0.0,0.0,0.0
NP_001030623.1,0.0,0.0,0.0,0.0
NP_001030624.1,0.0,0.0,0.0,0.0
NP_001030625.1,0.0,0.0,0.0,0.0
NP_001030626.1,0.0,0.0,0.0,0.0
NP_001030627.1,0.0,0.0,0.0,0.0
NP_001030628.1,0.0,0.0,0.0,0.0
NP_001030629.1,0.0,0.0,0.0,0.0
NP_001030630.1,0.0,0.0,0.0,0.0
NP_001030631.1,0.0,0.0,33.6,34.7
NP_001030632.1,0.0,0.0,0.0,0.0
NP_001030634.1,45.1,45.4,112.0,97.6
NP_001030635.1,0.0,30.4,113.0,104.0
NP_001030636.1,0.0,0.0,0.0,0.0
NP_001030637.1,67.0,65.5,155.0,158.0
NP_001030638.1,0.0,0.0,0.0,0.0
NP_001030639.1,0.0,0.0,0.0,0.0
NP_001030640.1,0.0,0.0,0.0,0.0
NP_001030641.1,0.0,0.0,0.0,0.0
NP_001030642.1,0.0,0.0,0.0,0.0
NP_001030643.1,0.0,0.0,0.0,0.0
NP_001030645.1,0.0,0.0,0.0,0.0
NP_001030646.1,0.0,0.0,0.0,0.0
NP_001030647.1,0.0,0.0,0.0,0.0
NP_001030649.1,0.0,0.0,0.0,0.0
NP_001030650.1,0.0,0.0,0.0,0.0
NP_001030651.1,0.0,0.0,0.0,0.0
NP_001030652.1,0.0,0.0,0.0,0.0
NP_001030653.1,0.0,0.0,0.0,0.0
NP_001030654.1,0.0,0.0,0.0,0.0
NP_001030655.1,0.0,0.0,0.0,0.0
NP_001030656.1,0.0,0.0,0.0,0.0
NP_001030657.1,0.0,0.0,0.0,0.0
NP_001030658.1,0.0,0.0,0.0,0.0
NP_001030659.1,0.0,0.0,0.0,0.0
NP_001030660.1,0.0,0.0,0.0,0.0
