protein_id,pid,ESM2,alignment,domain,z_max,esm_category,refseq_keyword,description
NP_001030614.1,NP_001030614,True,False,False,1.345,antimicrobial,False,NP_001030614.1 Phosphoglycerate mutase-like family protein [Arabidopsis thaliana]
NP_001032132.1,NP_001032132,True,False,False,1.378,cell_death_HR,False,NP_001032132.1 Copine (Calcium-dependent phospholipid-binding protein) family [Arabidopsis thaliana]
NP_001190300.1,NP_001190300,True,False,False,1.032,defense_signaling,True,"NP_001190300.1 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein [Arabidopsis thaliana]"
NP_001190866.1,NP_001190866,True,False,False,0.987,defense_signaling,False,NP_001190866.1 PATATIN-like protein 8 [Arabidopsis thaliana]
NP_001318171.1,NP_001318171,True,False,False,1.451,cell_death_HR,False,NP_001318171.1 phosphatidic acid phosphatase 1 [Arabidopsis thaliana]
NP_001319042.1,NP_001319042,True,False,False,1.68,cell_death_HR,False,NP_001319042.1 Riboflavin synthase-like superfamily protein [Arabidopsis thaliana]
NP_001319672.1,NP_001319672,True,False,False,1.397,antimicrobial,True,NP_001319672.1 Methylenetetrahydrofolate reductase family protein [Arabidopsis thaliana]
NP_001320090.1,NP_001320090,True,False,False,1.478,PR_proteins,True,NP_001320090.1 Barwin-related endoglucanase [Arabidopsis thaliana]
NP_001323950.1,NP_001323950,True,False,False,1.451,cell_death_HR,False,NP_001323950.1 phosphatidic acid phosphatase 1 [Arabidopsis thaliana]
NP_001326316.1,NP_001326316,True,False,False,1.016,antimicrobial,False,NP_001326316.1 protein FLOWERING locus D-like protein [Arabidopsis thaliana]
NP_001328443.1,NP_001328443,True,False,False,1.51,PR_proteins,True,NP_001328443.1 Barwin-related endoglucanase [Arabidopsis thaliana]
NP_171612.1,NP_171612,True,False,False,1.049,defense_signaling,False,NP_171612.1 dicer-like 1 [Arabidopsis thaliana]
NP_172362.3,NP_172362,True,False,False,1.384,PR_proteins,False,NP_172362.3 Calcium-dependent phospholipid-binding Copine family protein [Arabidopsis thaliana]
NP_172383.3,NP_172383,True,False,False,1.432,cell_death_HR,True,NP_172383.3 respiratory burst oxidase-like protein [Arabidopsis thaliana]
NP_173344.2,NP_173344,True,False,False,1.034,defense_signaling,True,"NP_173344.2 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein [Arabidopsis thaliana]"
NP_173357.1,NP_173357,True,False,False,1.676,cell_death_HR,False,NP_173357.1 Riboflavin synthase-like superfamily protein [Arabidopsis thaliana]
NP_178183.2,NP_178183,True,False,False,0.997,defense_signaling,True,NP_178183.2 SUPPRESSOR OF AUXIN RESISTANCE 3 [Arabidopsis thaliana]
NP_187650.4,NP_187650,True,False,False,1.012,defense_signaling,False,NP_187650.4 protein FLOWERING locus D-like protein [Arabidopsis thaliana]
NP_187788.1,NP_187788,True,False,False,1.509,cell_death_HR,False,NP_187788.1 syntaxin of plants 121 [Arabidopsis thaliana]
NP_188048.1,NP_188048,True,False,False,1.429,PR_proteins,False,NP_188048.1 pectin methylesterase 3 [Arabidopsis thaliana]
NP_189701.3,NP_189701,True,False,False,1.397,antimicrobial,True,NP_189701.3 Methylenetetrahydrofolate reductase family protein [Arabidopsis thaliana]
NP_190058.1,NP_190058,True,False,False,1.455,cell_death_HR,False,NP_190058.1 arogenate dehydratase 4 [Arabidopsis thaliana]
NP_190808.1,NP_190808,True,False,False,1.439,cell_death_HR,False,NP_190808.1 syntaxin of plants 122 [Arabidopsis thaliana]
NP_192008.3,NP_192008,True,False,False,0.976,defense_signaling,False,NP_192008.3 Transcription factor jumonji (jmjC) domain-containing protein [Arabidopsis thaliana]
NP_192124.1,NP_192124,True,False,False,1.527,cell_death_HR,False,NP_192124.1 ARM repeat superfamily protein [Arabidopsis thaliana]
NP_194227.2,NP_194227,True,False,False,1.103,antimicrobial,True,"NP_194227.2 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein [Arabidopsis thaliana]"
NP_194456.1,NP_194456,True,False,False,1.388,antimicrobial,False,NP_194456.1 Auxin-responsive GH3 family protein [Arabidopsis thaliana]
NP_194709.2,NP_194709,True,False,False,0.983,defense_signaling,False,NP_194709.2 PATATIN-like protein 8 [Arabidopsis thaliana]
NP_194847.3,NP_194847,True,False,False,1.371,antimicrobial,False,NP_194847.3 Class II aminoacyl-tRNA and biotin synthetases superfamily protein [Arabidopsis thaliana]
NP_195165.2,NP_195165,True,False,False,1.074,NBS_LRR,False,NP_195165.2 extra-large GTP-binding protein 2 [Arabidopsis thaliana]
NP_195350.5,NP_195350,True,False,False,0.992,antimicrobial,False,NP_195350.5 ATP binding protein [Arabidopsis thaliana]
NP_195351.2,NP_195351,True,False,False,1.192,antimicrobial,True,"NP_195351.2 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein [Arabidopsis thaliana]"
NP_195462.3,NP_195462,True,False,False,0.963,defense_signaling,False,NP_195462.3 Tetratricopeptide repeat (TPR)-like superfamily protein [Arabidopsis thaliana]
NP_195870.1,NP_195870,True,False,False,1.454,cell_death_HR,False,NP_195870.1 heat shock cognate protein 70-1 [Arabidopsis thaliana]
NP_196356.1,NP_196356,True,False,False,1.764,cell_death_HR,True,NP_196356.1 respiratory burst oxidase homolog A [Arabidopsis thaliana]
NP_196633.2,NP_196633,True,False,False,0.962,defense_signaling,True,NP_196633.2 histidine kinase 5 [Arabidopsis thaliana]
NP_196817.2,NP_196817,True,False,False,1.078,antimicrobial,True,"NP_196817.2 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein [Arabidopsis thaliana]"
NP_196966.2,NP_196966,True,False,False,1.004,antimicrobial,False,NP_196966.2 domains rearranged methyltransferase 2 [Arabidopsis thaliana]
NP_197042.2,NP_197042,True,False,False,1.046,PR_proteins,False,NP_197042.2 domains rearranged methylase 1 [Arabidopsis thaliana]
NP_197655.1,NP_197655,True,False,False,1.477,cell_death_HR,False,NP_197655.1 arogenate dehydratase 5 [Arabidopsis thaliana]
NP_197797.1,NP_197797,True,False,False,1.562,PR_proteins,True,NP_197797.1 chitinase A [Arabidopsis thaliana]
NP_199602.1,NP_199602,True,False,False,1.8,cell_death_HR,True,NP_199602.1 respiratory burst oxidase homologue D [Arabidopsis thaliana]
NP_199919.1,NP_199919,True,False,False,1.843,cell_death_HR,True,NP_199919.1 NADPH/respiratory burst oxidase protein D [Arabidopsis thaliana]
NP_200809.4,NP_200809,True,False,False,1.571,cell_death_HR,False,NP_200809.4 ferric reductase-like transmembrane component family protein [Arabidopsis thaliana]
NP_200868.2,NP_200868,True,False,False,1.37,antimicrobial,False,NP_200868.2 4-hydroxy-3-methylbut-2-enyl diphosphate synthase [Arabidopsis thaliana]
NP_201202.2,NP_201202,True,False,False,1.378,cell_death_HR,False,NP_201202.2 Copine (Calcium-dependent phospholipid-binding protein) family [Arabidopsis thaliana]
NP_564001.1,NP_564001,True,False,False,1.353,antimicrobial,False,NP_564001.1 molybdenum cofactor sulfurase (LOS5) (ABA3) [Arabidopsis thaliana]
NP_564497.1,NP_564497,True,False,False,1.461,PR_proteins,False,NP_564497.1 Granulin repeat cysteine protease family protein [Arabidopsis thaliana]
NP_565206.1,NP_565206,True,False,False,1.363,PR_proteins,False,NP_565206.1 Ca(2)-dependent phospholipid-binding protein (Copine) family [Arabidopsis thaliana]
NP_565255.1,NP_565255,True,False,False,1.451,cell_death_HR,False,NP_565255.1 phosphatidic acid phosphatase 1 [Arabidopsis thaliana]
NP_566038.1,NP_566038,True,False,False,1.36,PR_proteins,False,NP_566038.1 Plant invertase/pectin methylesterase inhibitor superfamily [Arabidopsis thaliana]
NP_567215.1,NP_567215,True,False,False,1.309,PR_proteins,False,NP_567215.1 Cysteine proteinases superfamily protein [Arabidopsis thaliana]
NP_568000.1,NP_568000,True,False,False,1.147,antimicrobial,False,NP_568000.1 compromized recognition of TCV 1 [Arabidopsis thaliana]
NP_568180.1,NP_568180,True,False,False,1.347,PR_proteins,False,NP_568180.1 Calcium-dependent phospholipid-binding Copine family protein [Arabidopsis thaliana]
NP_568651.1,NP_568651,True,False,False,1.298,PR_proteins,False,NP_568651.1 senescence-associated gene 12 [Arabidopsis thaliana]
NP_568944.1,NP_568944,True,False,False,1.339,PR_proteins,False,NP_568944.1 Calcium-dependent phospholipid-binding Copine family protein [Arabidopsis thaliana]
NP_849281.1,NP_849281,True,False,False,1.302,PR_proteins,False,NP_849281.1 Cysteine proteinases superfamily protein [Arabidopsis thaliana]
NP_849558.1,NP_849558,True,False,False,1.371,antimicrobial,False,NP_849558.1 Class II aminoacyl-tRNA and biotin synthetases superfamily protein [Arabidopsis thaliana]
NP_849979.1,NP_849979,True,False,False,1.347,PR_proteins,False,NP_849979.1 plant natriuretic peptide A [Arabidopsis thaliana]
NP_850176.1,NP_850176,True,False,False,0.966,defense_signaling,False,NP_850176.1 RAP [Arabidopsis thaliana]
NP_851233.1,NP_851233,True,False,False,1.37,antimicrobial,False,NP_851233.1 4-hydroxy-3-methylbut-2-enyl diphosphate synthase [Arabidopsis thaliana]
NP_973799.1,NP_973799,True,False,False,1.628,cell_death_HR,True,NP_973799.1 respiratory burst oxidase-like protein [Arabidopsis thaliana]
NP_974288.1,NP_974288,True,False,False,1.419,cell_death_HR,False,NP_974288.1 syntaxin of plants 121 [Arabidopsis thaliana]
NP_974753.1,NP_974753,True,False,False,1.369,antimicrobial,False,NP_974753.1 sirtuin 2 [Arabidopsis thaliana]
NP_974977.1,NP_974977,True,False,False,1.339,PR_proteins,False,NP_974977.1 Calcium-dependent phospholipid-binding Copine family protein [Arabidopsis thaliana]
