Entry	RefSeq
C0LGE0	NP_172244.2 [C0LGE0-1];
C0LGF4	NP_001185122.1 [C0LGF4-1];
C0LGF5	NP_174673.3;
C0LGG6	
C0LGG8	
C0LGH3	
C0LGH8	NP_176532.2 [C0LGH8-1];
C0LGI5	
C0LGJ1	
C0LGJ9	NP_178381.3;
C0LGL4	NP_180462.2;
C0LGL9	NP_001189684.1;NP_001324112.1;NP_001324113.1;NP_181105.2;
C0LGN2	NP_188102.5 [C0LGN2-1];NP_566494.1 [C0LGN2-2];
C0LGP2	NP_190217.2;
C0LGP9	NP_001319765.1;
C0LGQ4	NP_193599.3;
C0LGQ5	NP_193747.2;
C0LGQ9	NP_001320016.1;
C0LGR3	NP_567748.5;
C0LGR6	NP_001190865.1 [C0LGR6-1];
C0LGR9	
C0LGS2	NP_195341.2;
C0LGS3	NP_195442.2;
C0LGT1	NP_196591.2;
C0LGT6	NP_001318610.1;NP_197548.1;
C0LGU0	NP_198389.2;
C0LGU5	NP_199390.2;
C0LGU7	
C0LGV1	NP_199705.2;
C0LGW2	NP_001318839.1;
C0LGW6	NP_201029.1 [C0LGW6-1];
C0LGX3	NP_201372.2;
F4I2N7	NP_172468.3 [F4I2N7-1];NP_850942.1 [F4I2N7-2];
F4K6B8	NP_001032080.1 [F4K6B8-1];NP_200415.2 [F4K6B8-2];
O04567	
O22476	NP_195650.1;
O49545	NP_001190624.1;NP_201371.1;
O64483	NP_179509.1;
O65440	NP_193760.1 [O65440-1];
O81069	
O82318	NP_180150.1;
P43298	NP_176789.1;
P47735	NP_194578.1;
Q06BH3	NP_565489.2 [Q06BH3-1];
Q0WVM4	NP_179973.2;
Q3E991	NP_197569.2;
Q42371	NP_180201.1;
Q6R2K1	NP_178019.2;
Q6R2K3	NP_001329389.1 [Q6R2K3-1];NP_192248.2 [Q6R2K3-1];
Q6XAT2	NP_196335.2;
Q84JQ4	NP_178721.3;
Q8GZ99	NP_199787.2;
Q8LPS5	NP_001318220.1;NP_001324219.1;NP_001324220.1;NP_179000.3;
Q8RWZ1	NP_172580.2;
Q8RY65	NP_189183.2 [Q8RY65-1];
Q8VYT3	NP_194781.2;
