removed_anchor,category,n_candidates,jaccard,retained_frac,added,removed,spearman_rank
Q9LD45,cell_death_HR,2408,0.7822,0.8879,318,264,0.8051
Q7XJE6,cell_death_HR,2263,0.8,0.8717,211,302,0.91
Q8S8P5,defense_signaling,2321,0.8851,0.9325,126,159,0.9942
Q39023,defense_signaling,2355,0.8927,0.9435,134,133,0.9959
Q39026,defense_signaling,2355,0.9072,0.9516,115,114,0.9971
P94077,cell_death_HR,2346,0.9075,0.9499,110,118,0.9841
Q9S745,defense_signaling,2353,0.9378,0.9677,75,76,0.9994
Q9FL28,RLK_defense,2355,0.9387,0.9686,75,74,0.9996
Q9SU72,defense_signaling,2351,0.9426,0.9698,68,71,0.9993
P33154,PR_proteins,2327,0.9439,0.9656,54,81,0.9982
P93002,defense_signaling,2342,0.9469,0.9703,58,70,0.9994
O48915,defense_signaling,2355,0.9475,0.9732,64,63,0.9988
P29059,PR_proteins,2358,0.956,0.9783,55,51,0.9997
P15797,PR_proteins,2349,0.9563,0.9766,50,55,0.9995
P28343,antimicrobial,2357,0.9588,0.9796,51,48,0.9992
C0LGT6,RLK_defense,2352,0.9592,0.9788,48,50,0.9998
P13114,antimicrobial,2361,0.9605,0.9813,51,44,0.9994
P19171,PR_proteins,2362,0.9617,0.9822,50,42,0.9998
P35510,antimicrobial,2357,0.9629,0.9817,46,43,0.9992
P45724,antimicrobial,2353,0.9637,0.9813,43,44,0.9993
O64973,NBS_LRR,2355,0.9645,0.9822,43,42,0.9996
P17514,PR_proteins,2355,0.9686,0.9843,38,37,0.9997
O48814,RLK_defense,2351,0.9694,0.9839,35,38,0.9996
Q39214,NBS_LRR,2336,0.9731,0.9826,23,41,0.9999
Q40392,NBS_LRR,2350,0.979,0.9885,23,27,0.9999
A8R7E6,RLK_defense,2354,0.9798,0.9898,24,24,0.9998
Q94F62,RLK_defense,2355,0.9836,0.9919,20,19,0.9999
Q9M667,NBS_LRR,2354,0.984,0.9919,19,19,0.9994
Q84UB1,NBS_LRR,2348,0.9848,0.9911,15,21,0.9994
Q9XGM3,NBS_LRR,2359,0.9861,0.9941,19,14,0.9999
F4JNB7,NBS_LRR,2356,0.9865,0.9936,17,15,0.9996
Q42484,NBS_LRR,2354,0.9873,0.9936,15,15,0.9997
Q2R2D5,NBS_LRR,2355,0.9903,0.9953,12,11,0.9993
