protein_id,length,truncated_by_esm,low_complexity_frac,repeat_frac
NP_001030614.1,1050,True,0.1697,0.0
NP_001032132.1,367,False,0.1063,0.0
NP_001118361.1,1032,True,0.2409,0.0
NP_001190300.1,696,False,0.195,0.0
NP_001190382.1,887,False,0.1935,0.0
NP_001190383.1,867,False,0.1993,0.0
NP_001190866.1,526,False,0.3136,0.0077
NP_001318171.1,327,False,0.2045,0.0
NP_001319042.1,952,False,0.3162,0.0
NP_001319672.1,499,False,0.1708,0.0
NP_001320090.1,124,False,0.2095,0.0
NP_001323950.1,327,False,0.2045,0.0
NP_001326316.1,789,False,0.3377,0.0
NP_001328443.1,126,False,0.2243,0.0
NP_171612.1,1909,True,0.236,0.0
NP_172362.3,584,False,0.115,0.0
NP_172383.3,622,False,0.2488,0.0
NP_173344.2,663,False,0.1817,0.0
NP_173357.1,926,False,0.3109,0.0
NP_178183.2,1046,True,0.1246,0.0
NP_187650.4,884,False,0.3908,0.0
NP_187788.1,346,False,0.4618,0.0147
NP_188048.1,592,False,0.2845,0.0
NP_189701.3,499,False,0.1708,0.0
NP_190058.1,424,False,0.2148,0.0
NP_190808.1,341,False,0.3199,0.0
NP_192008.3,840,False,0.2266,0.0
NP_192124.1,531,False,0.2754,0.0
NP_194227.2,707,False,0.2674,0.0028
NP_194456.1,612,False,0.1214,0.0
NP_194709.2,525,False,0.3142,0.0077
NP_194847.3,558,False,0.1911,0.0
NP_195165.2,861,False,0.1971,0.0023
NP_195350.5,486,False,0.1756,0.0499
NP_195351.2,626,False,0.2603,0.0
NP_195462.3,1052,True,0.272,0.0
NP_195870.1,651,False,0.2278,0.0
NP_196356.1,902,False,0.1948,0.0
NP_196633.2,922,False,0.2137,0.0
NP_196817.2,708,False,0.1945,0.0
NP_196966.2,626,False,0.1433,0.0
NP_197042.2,624,False,0.1917,0.0
NP_197655.1,425,False,0.2906,0.0
NP_197797.1,302,False,0.0636,0.0
NP_199602.1,921,False,0.2783,0.0
NP_199919.1,905,False,0.1738,0.0
NP_200809.4,886,False,0.2065,0.0045
NP_200868.2,740,False,0.1318,0.0
NP_201202.2,367,False,0.1063,0.0
NP_564001.1,819,False,0.125,0.0
NP_564497.1,462,False,0.1648,0.0
NP_565206.1,401,False,0.2565,0.0
NP_565255.1,327,False,0.2045,0.0
NP_566038.1,511,False,0.1524,0.0
NP_567215.1,359,False,0.1529,0.0
NP_568000.1,635,False,0.263,0.0
NP_568180.1,586,False,0.1781,0.0
NP_568444.1,881,False,0.2135,0.0
NP_568651.1,346,False,0.1407,0.0
NP_568944.1,578,False,0.1807,0.0
NP_849281.1,359,False,0.1529,0.0
NP_849558.1,558,False,0.1911,0.0
NP_849979.1,130,False,0.2072,0.0
NP_850023.1,1032,True,0.2409,0.0
NP_850176.1,671,False,0.3405,0.003
NP_851233.1,741,False,0.1288,0.0
NP_973799.1,843,False,0.2148,0.0
NP_974288.1,315,False,0.4324,0.0161
NP_974753.1,354,False,0.1045,0.0
NP_974977.1,578,False,0.1807,0.0
