protein_id,length,n_windows,last_window_start,residues_lost_by_truncation,source
F4JNB7,1449,2,427,427,anchor
Q9XGM3,1217,2,195,195,anchor
Q9FL28,1173,2,151,151,anchor
Q40392,1144,2,122,122,anchor
Q2R2D5,1037,2,15,15,anchor
C0LGT6,1031,2,9,9,anchor
NP_001322748.1,5400,10,4378,4378,proteome
NP_176883.5,5393,10,4371,4371,proteome
NP_186875.2,5098,9,4076,4076,proteome
NP_001327520.1,5087,9,4065,4065,proteome
NP_001327522.1,5078,9,4056,4056,proteome
NP_001327521.1,5077,9,4055,4055,proteome
NP_197702.1,4706,9,3684,3684,proteome
NP_001190747.1,4219,8,3197,3197,proteome
NP_001154245.1,4218,8,3196,3196,proteome
NP_193447.5,4216,8,3194,3194,proteome
NP_001320409.1,4173,8,3151,3151,proteome
NP_001320405.1,4154,8,3132,3132,proteome
NP_175242.7,4146,8,3124,3124,proteome
NP_001320406.1,4132,8,3110,3110,proteome
NP_001320408.1,4132,8,3110,3110,proteome
NP_001320407.1,4105,8,3083,3083,proteome
NP_179383.3,3858,7,2836,2836,proteome
NP_680770.2,3834,7,2812,2812,proteome
NP_001190934.1,3809,7,2787,2787,proteome
NP_001190933.1,3804,7,2782,2782,proteome
NP_001185245.1,3681,7,2659,2659,proteome
NP_177189.1,3658,7,2636,2636,proteome
NP_171805.1,3601,7,2579,2579,proteome
NP_001322129.1,3600,7,2578,2578,proteome
NP_001329387.1,3576,6,2554,2554,proteome
NP_001325348.1,3575,6,2553,2553,proteome
NP_850116.1,3574,6,2552,2552,proteome
NP_001322130.1,3572,6,2550,2550,proteome
NP_001322128.1,3571,6,2549,2549,proteome
NP_001325349.1,3544,6,2522,2522,proteome
NP_001077971.1,3543,6,2521,2521,proteome
NP_001325347.1,3543,6,2521,2521,proteome
NP_850117.1,3529,6,2507,2507,proteome
NP_001319850.1,3527,6,2505,2505,proteome
NP_192175.3,3527,6,2505,2505,proteome
NP_001331612.1,3521,6,2499,2499,proteome
NP_001318641.1,3484,6,2462,2462,proteome
NP_568451.7,3464,6,2442,2442,proteome
NP_001331613.1,3446,6,2424,2424,proteome
NP_001331614.1,3446,6,2424,2424,proteome
NP_001331615.1,3303,6,2281,2281,proteome
NP_001154293.2,3184,6,2162,2162,proteome
NP_001328119.1,3181,6,2159,2159,proteome
NP_001326732.1,3132,6,2110,2110,proteome
NP_001326734.1,3125,6,2103,2103,proteome
NP_190607.2,3072,6,2050,2050,proteome
NP_001326746.1,3013,5,1991,1991,proteome
NP_001189752.1,3001,5,1979,1979,proteome
NP_001326745.1,2989,5,1967,1967,proteome
NP_001318429.1,2946,5,1924,1924,proteome
NP_001325311.1,2946,5,1924,1924,proteome
NP_001325312.1,2946,5,1924,1924,proteome
NP_001325313.1,2946,5,1924,1924,proteome
NP_182078.1,2946,5,1924,1924,proteome
NP_001330812.1,2889,5,1867,1867,proteome
NP_198861.4,2889,5,1867,1867,proteome
NP_188535.4,2771,5,1749,1749,proteome
NP_001320105.1,2730,5,1708,1708,proteome
NP_194885.2,2730,5,1708,1708,proteome
NP_193111.2,2729,5,1707,1707,proteome
NP_001329590.1,2725,5,1703,1703,proteome
NP_001329594.1,2723,5,1701,1701,proteome
NP_001329591.1,2718,5,1696,1696,proteome
NP_001332644.1,2703,5,1681,1681,proteome
NP_001332642.1,2702,5,1680,1680,proteome
NP_001332643.1,2702,5,1680,1680,proteome
NP_198898.2,2702,5,1680,1680,proteome
NP_001185313.1,2696,5,1674,1674,proteome
NP_001329593.1,2686,5,1664,1664,proteome
NP_001322207.1,2681,5,1659,1659,proteome
NP_001185262.1,2655,5,1633,1633,proteome
NP_001328345.1,2624,5,1602,1602,proteome
NP_001320096.1,2619,5,1597,1597,proteome
NP_176659.6,2610,5,1588,1588,proteome
NP_176121.3,2607,5,1585,1585,proteome
NP_001322631.1,2604,5,1582,1582,proteome
NP_564728.3,2604,5,1582,1582,proteome
NP_194828.7,2599,5,1577,1577,proteome
NP_001319707.1,2598,5,1576,1576,proteome
NP_001078738.1,2587,5,1565,1565,proteome
NP_001320074.1,2574,5,1552,1552,proteome
NP_180257.3,2554,4,1532,1532,proteome
NP_182179.3,2513,4,1491,1491,proteome
NP_195652.5,2513,4,1491,1491,proteome
NP_001323787.1,2505,4,1483,1483,proteome
NP_001189602.1,2487,4,1465,1465,proteome
NP_001324903.1,2487,4,1465,1465,proteome
NP_001323909.1,2485,4,1463,1463,proteome
NP_001329592.1,2482,4,1460,1460,proteome
NP_175425.2,2481,4,1459,1459,proteome
NP_001324902.1,2473,4,1451,1451,proteome
NP_565607.1,2464,4,1442,1442,proteome
NP_182327.6,2462,4,1440,1440,proteome
NP_001326733.1,2461,4,1439,1439,proteome
NP_001117459.1,2454,4,1432,1432,proteome
NP_171710.4,2431,4,1409,1409,proteome
NP_565039.5,2401,4,1379,1379,proteome
NP_001322632.1,2398,4,1376,1376,proteome
NP_001328120.1,2397,4,1375,1375,proteome
NP_001190380.1,2396,4,1374,1374,proteome
NP_001321578.1,2378,4,1356,1356,proteome
NP_001184889.1,2377,4,1355,1355,proteome
NP_001318636.1,2376,4,1354,1354,proteome
NP_197823.1,2376,4,1354,1354,proteome
NP_194431.3,2374,4,1352,1352,proteome
NP_001323908.1,2373,4,1351,1351,proteome
NP_178124.2,2359,4,1337,1337,proteome
NP_174850.4,2355,4,1333,1333,proteome
NP_193253.4,2335,4,1313,1313,proteome
NP_195589.2,2332,4,1310,1310,proteome
NP_051101.1,2294,4,1272,1272,proteome
NP_051121.1,2294,4,1272,1272,proteome
NP_001323788.1,2270,4,1248,1248,proteome
NP_001185143.1,2254,4,1232,1232,proteome
NP_174849.2,2254,4,1232,1232,proteome
NP_001319832.1,2235,4,1213,1213,proteome
NP_001329123.1,2235,4,1213,1213,proteome
NP_001329124.1,2235,4,1213,1213,proteome
NP_001322185.1,2226,4,1204,1204,proteome
NP_199293.3,2223,4,1201,1201,proteome
NP_001185337.1,2222,4,1200,1200,proteome
NP_001319331.1,2222,4,1200,1200,proteome
NP_176885.7,2221,4,1199,1199,proteome
NP_001326372.1,2210,4,1188,1188,proteome
NP_001190529.1,2208,4,1186,1186,proteome
NP_001190530.1,2208,4,1186,1186,proteome
NP_001326373.1,2208,4,1186,1186,proteome
NP_200158.2,2208,4,1186,1186,proteome
NP_001189828.1,2199,4,1177,1177,proteome
NP_187305.5,2197,4,1175,1175,proteome
NP_001323760.1,2193,4,1171,1171,proteome
NP_001323762.1,2193,4,1171,1171,proteome
NP_973695.1,2193,4,1171,1171,proteome
NP_001318432.1,2192,4,1170,1170,proteome
NP_001323761.1,2192,4,1170,1170,proteome
NP_182126.2,2192,4,1170,1170,proteome
NP_001189829.1,2188,4,1166,1166,proteome
NP_001328112.1,2181,4,1159,1159,proteome
NP_194028.2,2180,4,1158,1158,proteome
NP_001185238.1,2179,4,1157,1157,proteome
NP_001190804.1,2177,4,1155,1155,proteome
NP_186795.1,2176,4,1154,1154,proteome
NP_181756.1,2172,4,1150,1150,proteome
NP_001185050.1,2171,4,1149,1149,proteome
NP_173520.1,2171,4,1149,1149,proteome
NP_001324007.1,2166,4,1144,1144,proteome
NP_173577.2,2166,4,1144,1144,proteome
NP_180137.3,2166,4,1144,1144,proteome
NP_172303.5,2161,4,1139,1139,proteome
NP_001326662.1,2160,4,1138,1138,proteome
NP_001190584.1,2157,4,1135,1135,proteome
NP_001322184.1,2156,4,1134,1134,proteome
