removed_anchor,category,n_candidates,jaccard,retained_frac,added,removed,spearman_rank
Q9LD45,cell_death_HR,2848,0.7822,0.8842,366,325,0.8793
Q7XJE6,cell_death_HR,2700,0.7903,0.866,269,376,0.9203
Q39023,defense_signaling,2813,0.8765,0.9352,188,182,0.996
Q8S8P5,defense_signaling,2780,0.883,0.9334,160,187,0.9948
Q39026,defense_signaling,2812,0.8875,0.9412,170,165,0.9972
P94077,cell_death_HR,2798,0.9117,0.9523,125,134,0.9865
Q9S745,defense_signaling,2809,0.9272,0.9626,107,105,0.9991
O48915,defense_signaling,2813,0.9306,0.9651,104,98,0.9985
P33154,PR_proteins,2798,0.9321,0.9633,94,103,0.9976
Q9SU72,defense_signaling,2808,0.9322,0.9651,99,98,0.9991
Q9FL28,RLK_defense,2806,0.9369,0.9672,91,92,0.9996
C0LGT6,RLK_defense,2808,0.9483,0.9736,75,74,0.9997
P28343,antimicrobial,2808,0.951,0.9751,71,70,0.999
P15797,PR_proteins,2798,0.9536,0.9747,62,71,0.9992
P93002,defense_signaling,2796,0.955,0.9751,59,70,0.9993
P35510,antimicrobial,2804,0.9551,0.9765,63,66,0.999
P13114,antimicrobial,2808,0.9558,0.9776,64,63,0.9991
P45724,antimicrobial,2801,0.9588,0.9779,56,62,0.9991
P19171,PR_proteins,2809,0.9664,0.9833,49,47,0.9996
P29059,PR_proteins,2800,0.9667,0.9818,44,51,0.9996
O48814,RLK_defense,2806,0.9722,0.9857,39,40,0.9996
P17514,PR_proteins,2811,0.9782,0.9897,33,29,0.9997
Q84UB1,NBS_LRR,2783,0.9837,0.9875,11,35,0.9989
F4JNB7,NBS_LRR,2792,0.9862,0.9904,12,27,0.9995
O64973,NBS_LRR,2799,0.9865,0.9918,15,23,0.9997
Q94F62,RLK_defense,2807,0.9873,0.9936,18,18,0.9999
A8R7E6,RLK_defense,2807,0.9873,0.9936,18,18,0.9999
Q9M667,NBS_LRR,2808,0.9876,0.9939,18,17,0.9993
Q2R2D5,NBS_LRR,2809,0.9915,0.9961,13,11,0.9993
Q42484,NBS_LRR,2808,0.9918,0.9961,12,11,0.9996
Q40392,NBS_LRR,2808,0.9947,0.9975,8,7,0.9999
Q39214,NBS_LRR,2807,0.995,0.9975,7,7,0.9999
Q9XGM3,NBS_LRR,2807,0.9964,0.9982,5,5,0.9999
