protein_id,pid,z_max,best_category,has_defense_keyword,description,score_jackhmmer,length,truncated_by_esm,low_complexity_frac,repeat_frac_k6
NP_199919.1,NP_199919,1.8429677,cell_death_HR,True,NP_199919.1 NADPH/respiratory burst oxidase protein D [Arabidopsis thaliana],0.0,905,False,0.1685,0.0
NP_199602.1,NP_199602,1.8003199,cell_death_HR,True,NP_199602.1 respiratory burst oxidase homologue D [Arabidopsis thaliana],0.0,921,False,0.2967,0.0
NP_196356.1,NP_196356,1.7636644,cell_death_HR,True,NP_196356.1 respiratory burst oxidase homolog A [Arabidopsis thaliana],0.0,902,False,0.2022,0.0
NP_001319042.1,NP_001319042,1.6799829,cell_death_HR,False,NP_001319042.1 Riboflavin synthase-like superfamily protein [Arabidopsis thaliana],0.0,952,False,0.2872,0.0
NP_173357.1,NP_173357,1.6764288,cell_death_HR,False,NP_173357.1 Riboflavin synthase-like superfamily protein [Arabidopsis thaliana],0.0,926,False,0.3297,0.0
NP_973799.1,NP_973799,1.6280717,cell_death_HR,True,NP_973799.1 respiratory burst oxidase-like protein [Arabidopsis thaliana],0.0,843,False,0.2289,0.0
NP_187123.1,NP_187123,1.620861,PR_proteins,True,NP_187123.1 pathogenesis-related 4 [Arabidopsis thaliana],80.45662689208984,212,False,0.25,0.0
NP_200809.4,NP_200809,1.5705433,cell_death_HR,False,NP_200809.4 ferric reductase-like transmembrane component family protein [Arabidopsis thaliana],0.0,886,False,0.2529,0.0045
NP_197797.1,NP_197797,1.5621716,PR_proteins,True,NP_197797.1 chitinase A [Arabidopsis thaliana],0.0,302,False,0.0345,0.0
NP_192124.1,NP_192124,1.526735,cell_death_HR,False,NP_192124.1 ARM repeat superfamily protein [Arabidopsis thaliana],0.0,531,False,0.2692,0.0
NP_001328443.1,NP_001328443,1.5095751,PR_proteins,True,NP_001328443.1 Barwin-related endoglucanase [Arabidopsis thaliana],0.0,126,False,0.2727,0.0
NP_187788.1,NP_187788,1.5086999,cell_death_HR,False,NP_187788.1 syntaxin of plants 121 [Arabidopsis thaliana],0.0,346,False,0.4545,0.0147
NP_001320090.1,NP_001320090,1.4781245,PR_proteins,True,NP_001320090.1 Barwin-related endoglucanase [Arabidopsis thaliana],0.0,124,False,0.1818,0.0
