protein_id,z_max,best_category,pctl_max,description
NP_198651.1,1.6491673,NBS_LRR,98.97317816914556,NP_198651.1 Disease resistance protein (NBS-LRR class) family [Arabidopsis thaliana]
NP_567680.5,1.6227361,NBS_LRR,98.85286369199494,NP_567680.5 cysteine-rich RECEPTOR-like kinase [Arabidopsis thaliana]
NP_194460.1,1.6200746,NBS_LRR,98.82797104154996,NP_194460.1 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_198970.1,1.6186655,NBS_LRR,98.81967349140166,NP_198970.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NP_192927.5,1.6137807,NBS_LRR,98.80930155371628,NP_192927.5 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_176343.2,1.5925629,NBS_LRR,98.92131848071855,NP_176343.2 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_193869.1,1.5852439,NBS_LRR,98.6516481008982,NP_193869.1 receptor kinase 3 [Arabidopsis thaliana]
NP_194459.4,1.5843644,NBS_LRR,98.63505300060156,NP_194459.4 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_173063.1,1.5829192,NBS_LRR,98.63090422552742,NP_173063.1 wall associated kinase-like 1 [Arabidopsis thaliana]
NP_179957.1,1.5827861,RLK_defense,98.99599643205345,NP_179957.1 protein kinase family protein / peptidoglycan-binding LysM domain-containing protein [Arabidopsis thaliana]
NP_001329571.1,1.5814251,NBS_LRR,98.90161179911632,NP_001329571.1 G-type lectin S-receptor-like Serine/Threonine-kinase [Arabidopsis thaliana]
NP_192232.5,1.5814251,NBS_LRR,98.90161179911632,NP_192232.5 G-type lectin S-receptor-like Serine/Threonine-kinase [Arabidopsis thaliana]
NP_193870.1,1.5792754,RLK_defense,98.98562449436804,NP_193870.1 S-locus lectin protein kinase family protein [Arabidopsis thaliana]
NP_194061.2,1.5756575,NBS_LRR,98.82589665401292,NP_194061.2 cysteine-rich RLK (RECEPTOR-like protein kinase) 22 [Arabidopsis thaliana]
NP_180916.1,1.5756266,RLK_defense,98.96488061899724,NP_180916.1 Protein kinase superfamily protein [Arabidopsis thaliana]
NP_001329890.1,1.5745236,RLK_defense,98.9482855187006,NP_001329890.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 5 [Arabidopsis thaliana]
NP_564775.1,1.5735993,NBS_LRR,98.906797767959,NP_564775.1 S-domain-1 29 [Arabidopsis thaliana]
NP_173064.1,1.5725188,RLK_defense,98.93583919347812,NP_173064.1 wall associated kinase-like 2 [Arabidopsis thaliana]
NP_199321.1,1.5717014,NBS_LRR,98.56244943680376,NP_199321.1 phloem protein 2-A6 [Arabidopsis thaliana]
NP_191532.1,1.5702217,RLK_defense,98.91924409318148,NP_191532.1 Concanavalin A-like lectin protein kinase family protein [Arabidopsis thaliana]
NP_176755.1,1.5669801,NBS_LRR,98.5313336237476,NP_176755.1 receptor kinase 1 [Arabidopsis thaliana]
NP_177436.1,1.5658978,NBS_LRR,98.52303607359929,NP_177436.1 toll/interleukin-1 receptor-like protein [Arabidopsis thaliana]
NP_173062.1,1.5656526,NBS_LRR,98.620532287842,NP_173062.1 wall associated kinase-like 6 [Arabidopsis thaliana]
NP_567679.2,1.5637852,RLK_defense,98.87983072997696,NP_567679.2 cysteine-rich RLK (RECEPTOR-like protein kinase) 10 [Arabidopsis thaliana]
NP_178085.1,1.5631598,RLK_defense,98.87568195490282,NP_178085.1 Wall-associated kinase family protein [Arabidopsis thaliana]
NP_001078435.1,1.5630347,RLK_defense,98.87360756736574,NP_001078435.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [Arabidopsis thaliana]
NP_173067.2,1.5629421,NBS_LRR,98.74706992760387,NP_173067.2 wall associated kinase-like 5 [Arabidopsis thaliana]
NP_001319018.1,1.5613647,NBS_LRR,98.8570124670691,NP_001319018.1 wall associated kinase-like 4 [Arabidopsis thaliana]
NP_200249.1,1.5608058,RLK_defense,98.85908685460618,NP_200249.1 protein kinase family protein [Arabidopsis thaliana]
NP_194062.1,1.5582358,RLK_defense,98.84456614184664,NP_194062.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 23 [Arabidopsis thaliana]
NP_194046.2,1.5559484,RLK_defense,98.83004542908706,NP_194046.2 cysteine-rich RLK (RECEPTOR-like protein kinase) 7 [Arabidopsis thaliana]
NP_001329880.1,1.5556903,NBS_LRR,98.45665567241272,NP_001329880.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NP_001330009.1,1.5537941,RLK_defense,98.81863629763312,NP_001330009.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
NP_199445.1,1.5537941,RLK_defense,98.81863629763312,NP_199445.1 Leucine-rich receptor-like protein kinase family protein [Arabidopsis thaliana]
NP_178383.1,1.5520917,RLK_defense,98.80411558487356,NP_178383.1 protein kinase 2B [Arabidopsis thaliana]
NP_973403.1,1.5520917,RLK_defense,98.80411558487356,NP_973403.1 protein kinase 2B [Arabidopsis thaliana]
NP_001329689.1,1.5501422,RLK_defense,98.79270645341964,NP_001329689.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 11 [Arabidopsis thaliana]
NP_192885.1,1.54187,RLK_defense,98.76159064036342,NP_192885.1 cysteine-rich RLK (RECEPTOR-like protein kinase) 30 [Arabidopsis thaliana]
