protein_id,ESM2,blastp_default,blastp_filteroff,psiblast_default,psiblast_filteroff,interpro_domain,esm_only_vs_panel
NP_001030614.1,True,False,False,False,False,False,True
NP_001030632.1,False,False,False,False,False,False,False
NP_001030636.1,False,False,False,False,False,False,False
NP_001030638.1,False,False,False,False,False,False,False
NP_001030639.1,False,False,False,False,False,False,False
NP_001030645.1,False,False,False,False,False,False,False
NP_001030652.1,False,False,False,False,False,False,False
NP_001030653.1,False,False,False,False,False,False,False
NP_001030660.1,False,False,False,False,False,False,False
NP_001030667.1,False,False,False,False,False,False,False
NP_001030677.1,False,False,False,False,False,False,False
NP_001030686.1,False,False,False,False,False,False,False
NP_001030715.1,False,False,False,False,False,False,False
NP_001030736.1,False,False,False,False,False,False,False
NP_001030737.1,False,False,False,False,False,False,False
NP_001030745.1,False,False,False,False,False,False,False
NP_001030746.1,False,False,False,False,False,False,False
NP_001030751.1,False,False,False,False,False,False,False
NP_001030752.1,False,False,False,False,False,False,False
NP_001030759.1,False,False,False,False,False,False,False
NP_001030760.1,False,False,False,False,False,False,False
NP_001030763.1,False,False,False,False,False,False,False
NP_001030770.1,False,False,False,False,False,False,False
NP_001030783.1,False,False,False,False,False,False,False
NP_001030785.1,False,False,False,False,False,False,False
NP_001030786.1,False,False,False,False,False,False,False
NP_001030790.3,False,True,True,True,True,False,False
NP_001030797.1,False,False,False,False,False,False,False
NP_001030800.2,False,False,False,False,False,False,False
NP_001030801.1,False,False,False,False,False,False,False
NP_001030802.1,False,False,False,False,False,False,False
NP_001030803.1,False,False,False,False,False,False,False
NP_001030810.1,False,False,False,False,False,False,False
NP_001030829.1,False,True,True,True,True,False,False
NP_001030830.1,False,False,False,False,False,False,False
NP_001030836.1,False,False,False,False,False,False,False
NP_001030878.1,False,True,True,True,True,False,False
NP_001030879.1,False,True,True,False,False,False,False
NP_001030880.1,False,True,True,False,False,False,False
NP_001030909.1,False,False,False,False,False,False,False
NP_001030910.1,False,False,False,False,False,False,False
NP_001030911.1,False,False,False,False,False,False,False
NP_001030912.1,False,False,False,False,False,False,False
NP_001030914.1,False,False,False,False,False,False,False
NP_001030952.1,False,False,False,False,False,False,False
NP_001030958.1,False,False,False,False,False,False,False
NP_001030967.1,False,False,False,False,False,False,False
NP_001030978.1,False,False,False,False,False,False,False
NP_001031003.1,False,False,False,False,False,False,False
NP_001031038.1,False,False,False,False,False,False,False
NP_001031039.1,False,False,False,False,False,False,False
NP_001031040.1,False,False,False,False,False,False,False
NP_001031041.1,False,False,False,False,False,False,False
NP_001031043.1,False,False,False,False,False,False,False
NP_001031047.1,False,False,False,False,False,False,False
NP_001031049.1,False,False,False,False,False,False,False
NP_001031052.1,False,False,False,False,False,False,False
NP_001031087.1,False,False,False,False,False,False,False
NP_001031101.1,False,False,False,False,False,False,False
NP_001031123.1,False,False,False,False,False,False,False
NP_001031130.1,False,False,False,False,False,False,False
NP_001031134.1,False,False,False,False,False,False,False
NP_001031138.4,False,False,False,False,False,False,False
NP_001031141.1,False,False,False,False,False,False,False
NP_001031142.1,False,False,False,False,False,False,False
NP_001031152.1,False,False,False,False,False,False,False
NP_001031155.4,False,True,True,True,True,False,False
NP_001031162.1,False,False,False,False,False,False,False
NP_001031163.1,False,False,False,False,False,False,False
NP_001031175.1,False,False,False,False,False,False,False
NP_001031181.1,False,True,True,True,True,False,False
NP_001031198.1,False,False,False,False,False,False,False
NP_001031200.1,False,False,False,False,False,False,False
NP_001031204.1,False,False,False,False,False,False,False
NP_001031207.1,True,True,True,True,True,True,False
NP_001031209.1,False,False,False,False,False,False,False
NP_001031212.1,False,False,False,False,False,False,False
NP_001031213.1,False,False,False,False,False,False,False
NP_001031214.1,False,False,False,False,False,False,False
NP_001031216.1,True,True,True,True,True,True,False
NP_001031218.2,False,False,False,False,False,False,False
NP_001031224.1,False,False,False,False,False,False,False
NP_001031226.1,False,False,False,False,False,False,False
NP_001031227.2,False,False,False,False,False,False,False
NP_001031236.1,False,False,False,False,False,False,False
NP_001031237.1,False,False,False,False,False,False,False
NP_001031253.1,False,False,False,False,False,False,False
NP_001031254.1,False,False,False,False,False,False,False
NP_001031257.1,False,False,False,False,False,False,False
NP_001031258.1,False,False,False,False,False,False,False
NP_001031259.1,False,False,False,False,False,False,False
NP_001031264.4,False,False,False,False,False,False,False
NP_001031265.1,False,False,False,False,False,False,False
NP_001031266.1,False,False,False,False,False,False,False
NP_001031275.1,False,False,False,False,False,False,False
NP_001031276.1,False,False,False,False,False,False,False
NP_001031288.1,False,False,False,False,False,False,False
NP_001031290.1,False,False,False,False,False,False,False
NP_001031308.1,False,False,False,False,False,False,False
NP_001031309.1,False,False,False,False,False,False,False
NP_001031310.1,False,False,False,False,False,False,False
NP_001031311.1,False,False,False,False,False,False,False
NP_001031312.1,False,False,False,False,False,False,False
NP_001031313.1,False,False,False,False,False,False,False
NP_001031314.1,False,False,False,False,False,False,False
NP_001031315.1,False,False,False,False,False,False,False
NP_001031316.1,False,False,False,False,False,False,False
NP_001031317.1,False,False,False,False,False,False,False
NP_001031319.1,False,False,False,False,False,False,False
NP_001031322.1,False,False,False,False,False,False,False
NP_001031324.1,False,False,False,False,False,False,False
NP_001031326.1,False,False,False,False,False,False,False
NP_001031341.1,False,False,False,False,False,False,False
NP_001031342.1,False,False,False,False,False,False,False
NP_001031345.1,False,False,False,False,False,False,False
NP_001031349.1,False,False,False,False,False,False,False
NP_001031350.1,False,False,False,False,False,False,False
NP_001031353.1,False,False,False,False,False,False,False
NP_001031354.1,False,False,False,False,False,False,False
NP_001031355.1,False,False,False,False,False,False,False
NP_001031356.1,False,False,False,False,False,False,False
NP_001031365.1,False,False,False,False,False,False,False
NP_001031376.1,False,False,False,False,False,False,False
NP_001031377.1,False,False,False,False,False,False,False
NP_001031378.1,False,False,False,False,False,False,False
NP_001031381.1,False,False,False,False,False,False,False
NP_001031388.1,False,False,False,False,False,False,False
NP_001031392.1,False,False,False,False,False,False,False
NP_001031393.1,False,False,False,False,False,False,False
NP_001031395.1,False,False,False,False,False,False,False
NP_001031398.1,False,False,False,False,False,False,False
NP_001031399.1,False,False,False,False,False,False,False
NP_001031408.1,False,False,False,False,False,False,False
NP_001031410.1,False,False,False,False,False,False,False
NP_001031411.1,False,False,False,False,False,False,False
NP_001031412.1,False,False,False,False,False,False,False
NP_001031413.1,False,False,False,False,False,False,False
NP_001031414.1,False,False,False,False,False,False,False
NP_001031429.1,False,False,False,False,False,False,False
NP_001031436.1,False,False,False,False,False,False,False
NP_001031439.1,False,True,True,True,True,False,False
NP_001031440.1,False,True,True,True,True,False,False
NP_001031441.1,False,False,False,False,False,False,False
NP_001031442.1,False,False,False,False,False,False,False
NP_001031460.1,False,False,False,False,False,False,False
NP_001031470.1,False,False,False,False,False,False,False
NP_001031472.1,False,False,False,False,False,False,False
NP_001031473.1,False,False,False,False,False,False,False
NP_001031485.1,False,False,False,False,False,False,False
NP_001031491.1,False,False,False,False,False,False,False
NP_001031522.1,False,False,False,False,False,False,False
NP_001031566.1,False,False,False,False,False,False,False
NP_001031578.1,False,False,False,False,False,False,False
NP_001031589.1,False,False,False,False,False,False,False
NP_001031591.1,False,False,False,False,False,False,False
NP_001031592.1,False,False,False,False,False,False,False
NP_001031595.1,False,False,False,False,False,False,False
NP_001031600.1,False,False,False,False,False,False,False
NP_001031603.1,False,False,False,False,False,False,False
NP_001031604.1,False,False,False,False,False,False,False
NP_001031605.1,False,False,False,False,False,False,False
NP_001031606.1,False,False,False,False,False,False,False
NP_001031607.1,False,False,False,False,False,False,False
NP_001031608.1,False,False,False,False,False,False,False
NP_001031611.1,False,False,False,False,False,False,False
NP_001031613.1,False,False,False,False,False,False,False
NP_001031616.1,False,False,False,False,False,False,False
NP_001031618.1,False,False,False,False,False,False,False
NP_001031619.1,False,False,False,False,False,False,False
NP_001031623.1,False,False,False,False,False,False,False
NP_001031630.1,False,False,False,False,False,False,False
NP_001031635.5,False,False,False,False,False,False,False
NP_001031636.2,False,False,False,False,False,False,False
NP_001031643.1,False,False,False,False,False,False,False
NP_001031648.1,False,False,False,False,False,False,False
NP_001031652.1,False,True,True,True,True,True,False
NP_001031655.1,False,False,False,False,False,False,False
NP_001031656.1,False,False,False,False,False,False,False
NP_001031666.1,False,False,False,False,False,False,False
NP_001031669.1,False,False,False,False,False,False,False
NP_001031673.1,False,False,False,False,False,False,False
NP_001031678.1,True,True,True,True,True,False,False
NP_001031679.1,True,True,True,True,True,False,False
NP_001031680.2,True,True,True,True,True,False,False
NP_001031681.1,False,False,False,False,False,False,False
NP_001031693.1,False,False,False,False,False,False,False
NP_001031694.1,False,False,False,False,False,False,False
NP_001031704.1,False,False,False,False,False,False,False
NP_001031711.1,True,True,True,True,True,False,False
NP_001031742.1,False,False,False,False,False,False,False
NP_001031745.1,False,False,False,False,False,False,False
NP_001031746.1,False,False,False,False,False,False,False
NP_001031747.1,False,False,False,False,False,False,False
NP_001031751.1,False,True,True,True,True,False,False
NP_001031753.1,False,False,False,False,False,False,False
NP_001031754.1,False,False,False,False,False,False,False
NP_001031755.1,False,False,False,False,False,False,False
NP_001031775.1,False,False,False,False,False,False,False
NP_001031776.1,False,False,False,False,False,False,False
NP_001031781.1,True,True,True,True,True,True,False
NP_001031783.1,False,False,False,False,False,False,False
NP_001031815.1,False,False,False,False,False,False,False
NP_001031845.1,False,False,False,False,False,False,False
NP_001031852.1,False,False,False,False,False,False,False
NP_001031854.1,False,False,False,False,False,False,False
NP_001031858.1,False,False,False,False,False,False,False
NP_001031891.1,False,False,False,False,False,False,False
NP_001031896.1,False,False,False,False,False,False,False
NP_001031897.2,False,False,False,False,False,False,False
NP_001031901.1,False,False,False,False,False,False,False
NP_001031902.1,False,False,False,False,False,False,False
NP_001031903.1,False,False,False,False,False,False,False
NP_001031925.1,False,False,False,False,False,False,False
NP_001031936.1,True,True,True,True,True,True,False
NP_001031940.1,False,False,False,False,False,False,False
NP_001031943.1,False,False,False,False,False,False,False
NP_001031950.1,False,False,False,False,False,False,False
NP_001031952.1,False,False,False,False,False,False,False
NP_001031961.1,False,False,False,False,False,False,False
NP_001031965.1,False,False,False,False,False,False,False
NP_001031975.1,False,False,False,False,False,False,False
NP_001031976.1,False,False,False,False,False,False,False
NP_001031977.1,False,False,False,False,False,False,False
NP_001031979.1,False,False,False,False,False,False,False
NP_001031984.1,False,False,False,False,False,False,False
NP_001031994.1,False,False,False,False,False,False,False
NP_001031995.1,False,False,False,False,False,False,False
NP_001031996.1,False,False,False,False,False,False,False
NP_001031997.2,False,False,False,False,False,False,False
NP_001032001.1,False,False,False,False,False,False,False
NP_001032012.2,False,False,False,False,False,False,False
NP_001032016.1,False,False,False,False,False,False,False
NP_001032020.1,False,False,False,False,False,False,False
NP_001032021.1,False,False,False,False,False,False,False
NP_001032022.1,False,False,False,False,False,False,False
NP_001032023.1,False,False,False,False,False,False,False
NP_001032024.1,False,False,False,False,False,False,False
NP_001032025.1,False,False,False,False,False,False,False
NP_001032027.1,False,False,False,False,False,False,False
NP_001032033.1,False,False,False,False,False,False,False
NP_001032034.1,False,False,False,False,False,False,False
NP_001032035.1,False,False,False,False,False,False,False
NP_001032036.1,False,False,False,False,False,False,False
NP_001032038.1,False,False,False,False,False,False,False
NP_001032039.1,False,False,False,False,False,False,False
NP_001032040.1,False,False,False,False,False,False,False
NP_001032047.1,False,False,False,False,False,False,False
NP_001032058.1,False,False,False,False,False,False,False
NP_001032063.1,False,False,False,False,False,False,False
NP_001032070.1,False,False,False,False,False,False,False
NP_001032073.1,False,False,False,False,False,False,False
NP_001032074.1,False,False,False,False,False,False,False
NP_001032077.1,False,False,False,False,False,False,False
NP_001032078.1,False,False,False,False,False,False,False
NP_001032081.1,False,False,False,False,False,False,False
NP_001032082.1,False,False,False,False,False,False,False
NP_001032108.1,False,False,False,False,False,False,False
NP_001032109.2,False,False,False,False,False,False,False
NP_001032111.1,False,False,False,False,False,False,False
NP_001032113.1,False,False,False,False,False,False,False
NP_001032114.1,False,False,False,False,False,False,False
NP_001032116.1,False,False,False,False,False,False,False
NP_001032124.1,False,False,False,False,False,False,False
NP_001032125.1,False,False,False,False,False,False,False
NP_001032132.1,True,False,False,False,False,False,True
NP_001032147.1,False,False,False,False,False,False,False
NP_001032148.1,False,False,False,False,False,False,False
NP_001032149.1,False,False,False,False,False,False,False
NP_001077439.1,False,False,False,False,False,False,False
NP_001077454.1,False,False,False,False,False,False,False
NP_001077455.1,False,False,False,False,False,False,False
NP_001077494.1,False,False,False,False,False,False,False
NP_001077526.1,False,False,False,False,False,False,False
NP_001077562.1,False,False,False,False,False,False,False
NP_001077596.1,False,False,False,False,False,False,False
NP_001077597.1,False,False,False,False,False,False,False
NP_001077641.1,False,False,False,False,False,False,False
NP_001077691.1,False,False,False,False,False,False,False
NP_001077742.1,True,True,True,True,True,True,False
NP_001077806.1,False,False,False,False,False,False,False
NP_001077807.1,False,False,False,False,False,False,False
NP_001077816.1,False,True,True,True,True,False,False
NP_001077895.1,False,False,False,False,False,False,False
NP_001077971.1,False,False,False,False,False,False,False
NP_001077983.1,False,False,False,False,False,False,False
NP_001078034.1,False,False,False,False,False,False,False
