pid,score
NP_001030613,0.0
NP_001030614,40.0
NP_001030615,0.0
NP_001030616,0.0
NP_001030617,0.0
NP_001030619,0.0
NP_001030620,0.0
NP_001030621,0.0
NP_001030623,0.0
NP_001030624,44.0
NP_001030625,39.0
NP_001030626,0.0
NP_001030627,0.0
NP_001030628,0.0
NP_001030629,0.0
NP_001030630,0.0
NP_001030631,0.0
NP_001030632,0.0
NP_001030634,111.0
NP_001030635,41.0
NP_001030636,0.0
NP_001030637,0.0
NP_001030638,0.0
NP_001030639,0.0
NP_001030640,0.0
NP_001030641,0.0
NP_001030642,0.0
NP_001030643,0.0
NP_001030645,0.0
NP_001030646,0.0
NP_001030647,0.0
NP_001030649,0.0
NP_001030650,0.0
NP_001030651,0.0
NP_001030652,0.0
NP_001030653,0.0
NP_001030654,0.0
NP_001030655,0.0
NP_001030656,0.0
NP_001030657,0.0
NP_001030658,0.0
NP_001030659,45.0
NP_001030660,40.0
NP_001030661,39.0
NP_001030662,0.0
NP_001030663,0.0
NP_001030664,0.0
NP_001030665,0.0
NP_001030666,0.0
NP_001030667,0.0
NP_001030668,0.0
NP_001030669,0.0
NP_001030670,0.0
NP_001030671,0.0
NP_001030672,0.0
NP_001030673,0.0
NP_001030675,0.0
NP_001030677,0.0
NP_001030678,0.0
NP_001030679,0.0
NP_001030680,0.0
NP_001030681,0.0
NP_001030682,0.0
NP_001030683,0.0
NP_001030685,0.0
NP_001030686,0.0
NP_001030687,0.0
NP_001030688,0.0
NP_001030689,0.0
NP_001030690,0.0
NP_001030691,0.0
NP_001030692,0.0
NP_001030694,0.0
NP_001030695,40.0
NP_001030696,0.0
NP_001030697,0.0
NP_001030698,0.0
NP_001030699,0.0
NP_001030700,0.0
NP_001030701,0.0
NP_001030702,0.0
NP_001030703,0.0
NP_001030704,0.0
NP_001030705,0.0
NP_001030706,0.0
NP_001030707,0.0
NP_001030708,0.0
NP_001030709,0.0
NP_001030710,0.0
NP_001030711,0.0
NP_001030714,0.0
NP_001030715,0.0
NP_001030716,0.0
NP_001030717,0.0
NP_001030718,0.0
NP_001030719,0.0
NP_001030720,0.0
NP_001030721,0.0
NP_001030722,0.0
NP_001030723,0.0
NP_001030724,0.0
NP_001030725,45.0
NP_001030726,0.0
NP_001030727,0.0
NP_001030728,0.0
NP_001030729,0.0
NP_001030730,0.0
NP_001030731,0.0
NP_001030732,0.0
NP_001030733,0.0
NP_001030734,0.0
NP_001030735,0.0
NP_001030736,0.0
NP_001030737,0.0
NP_001030738,49.0
NP_001030739,0.0
NP_001030741,0.0
NP_001030742,0.0
NP_001030743,0.0
NP_001030744,0.0
NP_001030745,0.0
NP_001030746,0.0
NP_001030747,0.0
NP_001030748,0.0
NP_001030749,0.0
NP_001030750,45.0
NP_001030751,0.0
NP_001030752,0.0
NP_001030753,0.0
NP_001030754,0.0
NP_001030755,0.0
NP_001030756,0.0
NP_001030757,0.0
NP_001030758,0.0
NP_001030759,0.0
NP_001030760,0.0
NP_001030761,0.0
NP_001030762,0.0
NP_001030763,0.0
NP_001030764,0.0
NP_001030765,0.0
NP_001030766,0.0
NP_001030767,0.0
NP_001030768,0.0
NP_001030769,0.0
NP_001030770,0.0
NP_001030771,0.0
NP_001030774,0.0
NP_001030776,0.0
NP_001030777,0.0
NP_001030778,34.0
NP_001030779,0.0
NP_001030780,0.0
NP_001030781,0.0
NP_001030782,0.0
NP_001030783,0.0
NP_001030784,84.0
NP_001030785,0.0
NP_001030786,0.0
NP_001030788,0.0
NP_001030789,0.0
NP_001030790,1032.0
NP_001030791,0.0
NP_001030792,0.0
NP_001030794,0.0
NP_001030795,0.0
NP_001030796,0.0
NP_001030797,0.0
NP_001030798,0.0
NP_001030800,0.0
NP_001030801,0.0
NP_001030802,0.0
NP_001030803,0.0
NP_001030804,0.0
NP_001030806,0.0
NP_001030807,0.0
NP_001030808,0.0
NP_001030810,0.0
NP_001030811,0.0
NP_001030812,0.0
NP_001030813,0.0
NP_001030814,115.0
NP_001030815,0.0
NP_001030816,0.0
NP_001030817,0.0
NP_001030818,0.0
NP_001030819,0.0
NP_001030820,0.0
NP_001030821,0.0
NP_001030822,0.0
NP_001030823,0.0
NP_001030824,36.0
NP_001030825,0.0
NP_001030826,0.0
NP_001030827,0.0
NP_001030828,0.0
NP_001030829,2701.0
NP_001030830,0.0
NP_001030831,0.0
NP_001030832,0.0
NP_001030833,0.0
NP_001030834,0.0
NP_001030835,0.0
NP_001030836,0.0
NP_001030837,0.0
NP_001030838,0.0
NP_001030839,0.0
NP_001030840,0.0
NP_001030841,0.0
NP_001030842,0.0
NP_001030843,0.0
NP_001030844,0.0
NP_001030845,0.0
NP_001030846,0.0
NP_001030847,0.0
NP_001030848,0.0
NP_001030849,48.0
NP_001030850,50.0
NP_001030851,0.0
NP_001030852,0.0
NP_001030853,0.0
