removed_anchor,category,n_candidates,jaccard,retained_frac,added,removed,spearman_rank
Q9LD45,cell_death_HR,2497,0.7947,0.8956,310,255,0.9019
Q7XJE6,cell_death_HR,2353,0.8033,0.8747,217,306,0.932
Q39023,defense_signaling,2446,0.8836,0.939,153,149,0.9962
Q39026,defense_signaling,2446,0.8975,0.9468,134,130,0.9973
Q8S8P5,defense_signaling,2423,0.8996,0.9435,119,138,0.994
P94077,cell_death_HR,2435,0.9066,0.9496,116,123,0.9892
O48814,RLK_defense,2441,0.9308,0.964,87,88,0.9995
O48915,defense_signaling,2446,0.9358,0.9676,83,79,0.9987
Q9S745,defense_signaling,2439,0.9369,0.9668,78,81,0.9993
C0LGT6,RLK_defense,2436,0.9388,0.9672,74,80,0.9997
Q9FL28,RLK_defense,2445,0.9393,0.9693,78,75,0.9995
Q9SU72,defense_signaling,2440,0.9419,0.9697,72,74,0.9992
P33154,PR_proteins,2423,0.946,0.9685,58,77,0.9981
A8R7E6,RLK_defense,2443,0.9501,0.9746,63,62,0.9998
P93002,defense_signaling,2431,0.9515,0.973,55,66,0.9994
P28343,antimicrobial,2451,0.9556,0.9791,60,51,0.9993
P15797,PR_proteins,2434,0.9582,0.9771,48,56,0.9993
P35510,antimicrobial,2435,0.9594,0.9779,47,54,0.9993
P13114,antimicrobial,2453,0.9596,0.9816,56,45,0.9994
P45724,antimicrobial,2431,0.961,0.9779,43,54,0.9994
Q94F62,RLK_defense,2443,0.9666,0.9832,42,41,0.9999
P29059,PR_proteins,2451,0.9666,0.9848,46,37,0.9997
P19171,PR_proteins,2457,0.9675,0.9865,48,33,0.9997
P17514,PR_proteins,2451,0.9706,0.9869,41,32,0.9997
Q84UB1,NBS_LRR,2442,0.9765,0.9881,29,29,0.9988
Q42484,NBS_LRR,2443,0.9842,0.9922,20,19,0.9998
F4JNB7,NBS_LRR,2445,0.985,0.993,20,17,0.9997
Q9M667,NBS_LRR,2443,0.9866,0.9934,17,16,0.9996
Q2R2D5,NBS_LRR,2444,0.9886,0.9947,15,13,0.9995
Q40392,NBS_LRR,2443,0.9898,0.9951,13,12,0.9999
O64973,NBS_LRR,2443,0.9914,0.9959,11,10,0.9998
Q39214,NBS_LRR,2443,0.9939,0.9971,8,7,0.9999
Q9XGM3,NBS_LRR,2444,0.9975,0.9992,4,2,0.9999
