family,protein_id,z_max,best_category,pctl_max,description
NLR (NB-ARC),NP_198651.1,1.6491673,NBS_LRR,98.97317816914556,NP_198651.1 Disease resistance protein (NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_198970.1,1.6186655,NBS_LRR,98.81967349140166,NP_198970.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329880.1,1.5556903,NBS_LRR,98.45665567241272,NP_001329880.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_196686.1,1.5314006,NBS_LRR,98.28863028190926,NP_196686.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001319972.1,1.4781687,NBS_LRR,97.88827348725287,NP_001319972.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_849399.1,1.4781654,NBS_LRR,97.8861990997158,NP_849399.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329883.1,1.4738317,NBS_LRR,97.8623436430394,NP_001329883.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329873.1,1.4738317,NBS_LRR,97.8623436430394,NP_001329873.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329874.1,1.4713745,NBS_LRR,97.84574854274275,NP_001329874.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329877.1,1.4713745,NBS_LRR,97.84574854274275,NP_001329877.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329881.1,1.413678,NBS_LRR,97.35308150268634,NP_001329881.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329653.1,1.4053586,NBS_LRR,98.80100400356795,NP_001329653.1 protein kinase family protein [Arabidopsis thaliana]
NLR (NB-ARC),NP_176760.2,1.3906374,NBS_LRR,97.13527081129295,NP_176760.2 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001331343.1,1.322354,NBS_LRR,96.5005082249466,NP_001331343.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329876.1,1.2985711,NBS_LRR,96.30136702138694,NP_001329876.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329871.1,1.2985694,NBS_LRR,96.29929263384986,NP_001329871.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_190034.2,1.2626549,NBS_LRR,95.9072333893418,NP_190034.2 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001326421.1,1.2626549,NBS_LRR,95.9072333893418,NP_001326421.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001326419.1,1.2626549,NBS_LRR,95.9072333893418,NP_001326419.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001326420.1,1.2626549,NBS_LRR,95.9072333893418,NP_001326420.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001326422.1,1.2626549,NBS_LRR,95.9072333893418,NP_001326422.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_197298.1,1.2362072,NBS_LRR,95.5898520961686,NP_197298.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_001331341.1,1.1617068,NBS_LRR,94.57755097807372,NP_001331341.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]
NLR (NB-ARC),NP_849400.2,1.1047901,NBS_LRR,93.66482046175868,NP_849400.2 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001319973.1,1.0960244,NBS_LRR,93.5071670089406,NP_001319973.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329878.1,1.0943242,NBS_LRR,93.47916277719004,NP_001329878.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001031652.1,1.0943242,NBS_LRR,93.47916277719004,NP_001031652.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329872.1,1.0943242,NBS_LRR,93.47916277719004,NP_001329872.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001329879.1,1.0943242,NBS_LRR,93.47916277719004,NP_001329879.1 disease resistance protein (TIR-NBS class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_193641.1,1.0879583,NBS_LRR,93.33291845582592,NP_193641.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]
NLR (NB-ARC),NP_001318538.1,1.0074811,NBS_LRR,91.4607837036115,NP_001318538.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
NLR (NB-ARC),NP_001332026.1,1.0074811,NBS_LRR,91.4607837036115,NP_001332026.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]
PR proteins,NP_177182.2,1.5458583,RLK_defense,98.76988819051176,NP_177182.2 receptor serine/threonine kinase [Arabidopsis thaliana]
PR proteins,NP_198818.1,1.2857887,PR_proteins,98.95658306884891,NP_198818.1 Pathogenesis-related thaumatin superfamily protein [Arabidopsis thaliana]
PR proteins,NP_001319573.1,1.2745925,PR_proteins,98.82174787893877,NP_001319573.1 chitinase-like protein [Arabidopsis thaliana]
PR proteins,NP_001328502.1,1.2707639,PR_proteins,98.7947808409567,NP_001328502.1 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
PR proteins,NP_001031809.1,1.2680365,PR_proteins,98.76781380297469,NP_001031809.1 Pathogenesis-related thaumatin superfamily protein [Arabidopsis thaliana]
PR proteins,NP_195097.1,1.2625668,PR_proteins,98.69106146410272,"NP_195097.1 CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Arabidopsis thaliana]"
PR proteins,NP_001331362.1,1.2364993,PR_proteins,98.35086190802166,NP_001331362.1 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
PR proteins,NP_195579.2,1.2300315,PR_proteins,98.25958885639014,NP_195579.2 Pathogenesis-related thaumatin superfamily protein [Arabidopsis thaliana]
PR proteins,NP_188317.3,1.2150068,PR_proteins,98.0500757151451,NP_188317.3 chitinase-like protein [Arabidopsis thaliana]
PR proteins,NP_172647.2,1.1943874,PR_proteins,97.65594208309996,NP_172647.2 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
PR proteins,NP_197850.2,1.1778666,PR_proteins,97.40494119111332,NP_197850.2 Pathogenesis-related thaumatin superfamily protein [Arabidopsis thaliana]
PR proteins,NP_195324.4,1.1650877,PR_proteins,97.15290310535816,NP_195324.4 Pathogenesis-related thaumatin superfamily protein [Arabidopsis thaliana]
PR proteins,NP_180445.1,1.1486251,PR_proteins,96.81166635550854,NP_180445.1 Pathogenesis-related thaumatin superfamily protein [Arabidopsis thaliana]
PR proteins,NP_188603.1,1.1267529,PR_proteins,96.32625967183188,"NP_188603.1 CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Arabidopsis thaliana]"
PR proteins,NP_171638.2,1.0015501,PR_proteins,92.52183292882776,"NP_171638.2 CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Arabidopsis thaliana]"
PR proteins,NP_001319762.1,0.9892727,PR_proteins,92.32061733773104,NP_001319762.1 Glycosyl hydrolase superfamily protein [Arabidopsis thaliana]
PR proteins,NP_001190028.1,0.9100905,PR_proteins,88.66762088493373,NP_001190028.1 Chitinase family protein [Arabidopsis thaliana]
PR proteins,NP_001329110.1,0.9049557,PR_proteins,90.04501420955464,NP_001329110.1 receptor Serine/Threonine kinase-like protein [Arabidopsis thaliana]
