protein_id,length,n_windows,last_window_start,residues_lost_by_truncation,source
F4JNB7,1449,2,427,427,anchor
Q9XGM3,1217,2,195,195,anchor
Q9FL28,1173,2,151,151,anchor
Q40392,1144,2,122,122,anchor
Q2R2D5,1037,2,15,15,anchor
C0LGT6,1031,2,9,9,anchor
XP_015622419.1,5490,10,4468,4468,proteome
XP_015614135.1,5383,10,4361,4361,proteome
XP_015614136.1,5381,10,4359,4359,proteome
XP_015611300.2,5023,9,4001,4001,proteome
XP_015635451.1,4737,9,3715,3715,proteome
XP_015642454.1,4403,8,3381,3381,proteome
XP_015642455.1,4403,8,3381,3381,proteome
XP_015642456.1,4403,8,3381,3381,proteome
XP_015642458.1,4374,8,3352,3352,proteome
XP_025876131.1,4250,8,3228,3228,proteome
XP_015611615.1,4246,8,3224,3224,proteome
XP_025876132.1,4223,8,3201,3201,proteome
XP_015625353.1,4214,8,3192,3192,proteome
XP_015614067.1,4195,8,3173,3173,proteome
XP_025876572.1,4082,7,3060,3060,proteome
XP_025876133.1,4062,7,3040,3040,proteome
XP_015614068.1,4037,7,3015,3015,proteome
XP_025876134.1,3959,7,2937,2937,proteome
XP_025876135.1,3874,7,2852,2852,proteome
XP_015646473.1,3870,7,2848,2848,proteome
XP_015625354.1,3824,7,2802,2802,proteome
XP_015611506.1,3716,7,2694,2694,proteome
XP_015611507.1,3715,7,2693,2693,proteome
XP_015629804.1,3715,7,2693,2693,proteome
XP_015629805.1,3715,7,2693,2693,proteome
XP_015629806.1,3715,7,2693,2693,proteome
XP_015629808.1,3715,7,2693,2693,proteome
XP_015611508.1,3680,7,2658,2658,proteome
XP_015619405.1,3645,7,2623,2623,proteome
XP_015630506.1,3590,7,2568,2568,proteome
XP_025879595.1,3484,6,2462,2462,proteome
XP_015649857.1,3408,6,2386,2386,proteome
XP_015625230.1,3242,6,2220,2220,proteome
XP_015625231.1,3241,6,2219,2219,proteome
XP_015625232.1,3214,6,2192,2192,proteome
XP_025881944.1,3202,6,2180,2180,proteome
XP_025881945.1,3201,6,2179,2179,proteome
XP_015619929.1,3187,6,2165,2165,proteome
XP_015625233.1,3185,6,2163,2163,proteome
XP_015643664.1,3115,6,2093,2093,proteome
XP_015650020.1,3092,6,2070,2070,proteome
XP_015650029.1,3092,6,2070,2070,proteome
XP_015650038.1,3091,6,2069,2069,proteome
XP_015650045.1,3089,6,2067,2067,proteome
XP_015650052.1,3088,6,2066,2066,proteome
XP_015625112.1,3040,5,2018,2018,proteome
XP_015615410.1,2995,5,1973,1973,proteome
XP_015615417.1,2965,5,1943,1943,proteome
XP_025876314.1,2928,5,1906,1906,proteome
XP_015635442.1,2890,5,1868,1868,proteome
XP_015622645.1,2866,5,1844,1844,proteome
XP_015622646.1,2865,5,1843,1843,proteome
XP_015630850.1,2828,5,1806,1806,proteome
XP_015618560.1,2802,5,1780,1780,proteome
XP_015618562.1,2801,5,1779,1779,proteome
XP_015643665.1,2796,5,1774,1774,proteome
XP_025881946.1,2756,5,1734,1734,proteome
XP_025881947.1,2756,5,1734,1734,proteome
XP_015635403.1,2738,5,1716,1716,proteome
XP_015643715.1,2710,5,1688,1688,proteome
XP_025881948.1,2703,5,1681,1681,proteome
XP_025881949.1,2703,5,1681,1681,proteome
XP_015643666.1,2699,5,1677,1677,proteome
XP_025881950.1,2699,5,1677,1677,proteome
XP_025876325.1,2698,5,1676,1676,proteome
XP_015616394.1,2688,5,1666,1666,proteome
XP_025878909.1,2666,5,1644,1644,proteome
XP_015636134.1,2641,5,1619,1619,proteome
XP_015636135.1,2641,5,1619,1619,proteome
XP_015636136.1,2640,5,1618,1618,proteome
XP_015625288.1,2637,5,1615,1615,proteome
XP_015624718.1,2634,5,1612,1612,proteome
XP_015630633.1,2629,5,1607,1607,proteome
XP_015630606.1,2625,5,1603,1603,proteome
XP_015632761.1,2614,5,1592,1592,proteome
XP_015614014.1,2583,5,1561,1561,proteome
XP_025881977.1,2575,5,1553,1553,proteome
XP_015630636.2,2574,5,1552,1552,proteome
XP_025881504.1,2557,5,1535,1535,proteome
XP_015618390.2,2530,4,1508,1508,proteome
XP_015630890.1,2530,4,1508,1508,proteome
XP_025879798.1,2530,4,1508,1508,proteome
XP_015610642.1,2505,4,1483,1483,proteome
XP_025879022.1,2498,4,1476,1476,proteome
XP_025878910.1,2481,4,1459,1459,proteome
XP_025882603.1,2470,4,1448,1448,proteome
XP_015615432.1,2469,4,1447,1447,proteome
XP_015639567.1,2465,4,1443,1443,proteome
XP_015615969.1,2464,4,1442,1442,proteome
XP_015615157.1,2458,4,1436,1436,proteome
XP_015619715.1,2453,4,1431,1431,proteome
XP_015615164.1,2432,4,1410,1410,proteome
XP_025882605.1,2432,4,1410,1410,proteome
XP_015615977.1,2426,4,1404,1404,proteome
XP_015636097.1,2414,4,1392,1392,proteome
XP_015636098.1,2414,4,1392,1392,proteome
XP_015636099.1,2414,4,1392,1392,proteome
XP_015636100.1,2414,4,1392,1392,proteome
XP_015614203.1,2413,4,1391,1391,proteome
XP_025876788.1,2388,4,1366,1366,proteome
XP_015616271.1,2387,4,1365,1365,proteome
XP_015616276.1,2384,4,1362,1362,proteome
XP_015642864.2,2371,4,1349,1349,proteome
XP_015639300.1,2363,4,1341,1341,proteome
XP_015619716.1,2342,4,1320,1320,proteome
XP_015643214.1,2337,4,1315,1315,proteome
XP_015616281.1,2331,4,1309,1309,proteome
XP_015639213.1,2327,4,1305,1305,proteome
XP_015632762.1,2298,4,1276,1276,proteome
XP_015630637.1,2294,4,1272,1272,proteome
XP_015630356.1,2289,4,1267,1267,proteome
XP_015630357.1,2287,4,1265,1265,proteome
XP_025881505.1,2283,4,1261,1261,proteome
XP_015616287.1,2275,4,1253,1253,proteome
XP_025876262.1,2275,4,1253,1253,proteome
XP_015614129.1,2267,4,1245,1245,proteome
XP_015614130.1,2267,4,1245,1245,proteome
XP_025876681.1,2267,4,1245,1245,proteome
XP_025877587.1,2265,4,1243,1243,proteome
XP_015643211.1,2263,4,1241,1241,proteome
XP_015643212.1,2262,4,1240,1240,proteome
XP_015649923.1,2260,4,1238,1238,proteome
XP_015646594.1,2259,4,1237,1237,proteome
XP_015646595.1,2259,4,1237,1237,proteome
XP_015646596.1,2259,4,1237,1237,proteome
XP_015646597.1,2259,4,1237,1237,proteome
XP_015646598.1,2259,4,1237,1237,proteome
XP_015616291.1,2253,4,1231,1231,proteome
XP_015626143.1,2241,4,1219,1219,proteome
XP_015626144.1,2240,4,1218,1218,proteome
XP_015616293.1,2219,4,1197,1197,proteome
XP_015623163.1,2218,4,1196,1196,proteome
XP_025882809.1,2201,4,1179,1179,proteome
XP_015646668.1,2200,4,1178,1178,proteome
XP_015614331.1,2199,4,1177,1177,proteome
XP_015630695.1,2199,4,1177,1177,proteome
XP_015643716.1,2199,4,1177,1177,proteome
XP_025880037.1,2199,4,1177,1177,proteome
XP_025880038.1,2199,4,1177,1177,proteome
XP_015625274.1,2197,4,1175,1175,proteome
XP_015610666.1,2188,4,1166,1166,proteome
XP_015640407.1,2188,4,1166,1166,proteome
XP_015625183.1,2177,4,1155,1155,proteome
XP_025881508.1,2177,4,1155,1155,proteome
XP_025881509.1,2176,4,1154,1154,proteome
XP_015631545.1,2167,4,1145,1145,proteome
XP_015649242.1,2167,4,1145,1145,proteome
XP_015616299.1,2163,4,1141,1141,proteome
XP_015625425.1,2162,4,1140,1140,proteome
XP_015625426.1,2162,4,1140,1140,proteome
