protein_id,pid,z_max,best_category,has_defense_keyword,description,score_jackhmmer,length,truncated_by_esm,low_complexity_frac,repeat_frac_k6
NP_564821.1,NP_564821,1.8457317,cell_death_HR,True,NP_564821.1 respiratory burst oxidase protein F [Arabidopsis thaliana],0.0,944,False,0.3011,0.0
NP_199919.1,NP_199919,1.8429677,cell_death_HR,True,NP_199919.1 NADPH/respiratory burst oxidase protein D [Arabidopsis thaliana],0.0,905,False,0.1685,0.0
NP_194841.2,NP_194841,1.8263532,cell_death_HR,False,NP_194841.2 SHK1 binding protein 1 [Arabidopsis thaliana],0.0,642,False,0.2063,0.0
NP_001329809.1,NP_001329809,1.8090807,cell_death_HR,False,NP_001329809.1 trehalose phosphatase/synthase 5 [Arabidopsis thaliana],0.0,862,False,0.0706,0.0
NP_567538.1,NP_567538,1.8090807,cell_death_HR,False,NP_567538.1 trehalose phosphatase/synthase 5 [Arabidopsis thaliana],0.0,862,False,0.0706,0.0
NP_193817.2,NP_193817,1.8063967,cell_death_HR,False,NP_193817.2 tripeptidyl peptidase ii [Arabidopsis thaliana],0.0,1380,True,0.2482,0.0015
NP_191802.1,NP_191802,1.8055134,NBS_LRR,False,NP_191802.1 Protein with RNI-like/FBD-like domain [Arabidopsis thaliana],0.0,437,False,0.2619,0.0
NP_974647.1,NP_974647,1.8015082,cell_death_HR,False,NP_974647.1 SHK1 binding protein 1 [Arabidopsis thaliana],0.0,584,False,0.193,0.0
NP_181800.2,NP_181800,1.8012793,NBS_LRR,False,"NP_181800.2 FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein [Arabidopsis thaliana]",0.0,443,False,0.2326,0.0
NP_199602.1,NP_199602,1.8003199,cell_death_HR,True,NP_199602.1 respiratory burst oxidase homologue D [Arabidopsis thaliana],0.0,921,False,0.2967,0.0
NP_001319408.1,NP_001319408,1.7946813,NBS_LRR,False,NP_001319408.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],18.769134521484375,439,False,0.0952,0.0
NP_178005.1,NP_178005,1.7946813,NBS_LRR,False,NP_178005.1 F-box/RNI-like/FBD-like domains-containing protein [Arabidopsis thaliana],18.769134521484375,439,False,0.0952,0.0
