protein_id,length,n_windows,last_window_start,residues_lost_by_truncation,source
F4JNB7,1449,2,427,427,anchor
Q9XGM3,1217,2,195,195,anchor
Q9FL28,1173,2,151,151,anchor
Q40392,1144,2,122,122,anchor
Q2R2D5,1037,2,15,15,anchor
C0LGT6,1031,2,9,9,anchor
XP_059595419.1,5487,10,4465,4465,proteome
XP_010654485.1,5480,10,4458,4458,proteome
XP_059598568.1,5436,10,4414,4414,proteome
XP_059598569.1,5432,10,4410,4410,proteome
XP_059598570.1,5426,10,4404,4404,proteome
XP_059598571.1,5408,10,4386,4386,proteome
XP_059598572.1,5398,10,4376,4376,proteome
XP_010660565.1,5101,9,4079,4079,proteome
XP_059598573.1,5017,9,3995,3995,proteome
XP_059598574.1,5016,9,3994,3994,proteome
XP_010648419.2,4775,9,3753,3753,proteome
XP_059590081.1,4369,8,3347,3347,proteome
XP_019075468.1,4260,8,3238,3238,proteome
XP_003631895.1,3906,7,2884,2884,proteome
XP_059591865.1,3789,7,2767,2767,proteome
XP_059591278.1,3783,7,2761,2761,proteome
XP_010649796.1,3727,7,2705,2705,proteome
XP_010649797.1,3727,7,2705,2705,proteome
XP_010649798.1,3713,7,2691,2691,proteome
XP_010664436.1,3691,7,2669,2669,proteome
XP_059593776.1,3611,7,2589,2589,proteome
XP_019073568.1,3582,7,2560,2560,proteome
XP_059593777.1,3539,6,2517,2517,proteome
XP_010661190.1,3524,6,2502,2502,proteome
XP_059593778.1,3447,6,2425,2425,proteome
XP_010664421.1,3264,6,2242,2242,proteome
XP_010664422.1,3264,6,2242,2242,proteome
XP_010652873.1,3263,6,2241,2241,proteome
XP_010652875.1,3261,6,2239,2239,proteome
XP_059594397.1,3228,6,2206,2206,proteome
XP_059594398.1,3226,6,2204,2204,proteome
XP_059597658.1,3218,6,2196,2196,proteome
XP_059594399.1,3196,6,2174,2174,proteome
XP_059594400.1,3144,6,2122,2122,proteome
XP_059591874.1,3116,6,2094,2094,proteome
XP_010663177.1,3045,5,2023,2023,proteome
XP_010663178.1,3043,5,2021,2021,proteome
XP_010660085.2,3041,5,2019,2019,proteome
XP_010663179.1,3029,5,2007,2007,proteome
XP_059597649.1,3002,5,1980,1980,proteome
XP_002270775.1,2997,5,1975,1975,proteome
XP_059590764.1,2981,5,1959,1959,proteome
XP_010664423.1,2957,5,1935,1935,proteome
XP_010663180.1,2934,5,1912,1912,proteome
XP_010648845.1,2864,5,1842,1842,proteome
XP_010648846.1,2864,5,1842,1842,proteome
XP_010648847.1,2860,5,1838,1838,proteome
XP_010648849.1,2859,5,1837,1837,proteome
XP_010648850.1,2856,5,1834,1834,proteome
XP_059592286.1,2855,5,1833,1833,proteome
XP_059596456.1,2842,5,1820,1820,proteome
XP_019077139.1,2811,5,1789,1789,proteome
XP_019077141.1,2808,5,1786,1786,proteome
XP_010650288.1,2766,5,1744,1744,proteome
XP_002278409.2,2730,5,1708,1708,proteome
XP_010650327.1,2710,5,1688,1688,proteome
XP_019081150.1,2673,5,1651,1651,proteome
XP_019074935.1,2663,5,1641,1641,proteome
XP_010664427.1,2651,5,1629,1629,proteome
XP_010663181.1,2649,5,1627,1627,proteome
XP_019082039.1,2643,5,1621,1621,proteome
XP_010648947.1,2636,5,1614,1614,proteome
XP_010644440.1,2632,5,1610,1610,proteome
XP_059591055.1,2630,5,1608,1608,proteome
XP_010648851.1,2623,5,1601,1601,proteome
XP_010648852.1,2623,5,1601,1601,proteome
XP_002281542.1,2609,5,1587,1587,proteome
XP_019074489.1,2597,5,1575,1575,proteome
XP_010648853.1,2576,5,1554,1554,proteome
XP_002264136.4,2572,5,1550,1550,proteome
XP_059590767.1,2539,4,1517,1517,proteome
XP_059590768.1,2539,4,1517,1517,proteome
XP_010648588.1,2524,4,1502,1502,proteome
XP_059590765.1,2513,4,1491,1491,proteome
XP_010651195.1,2508,4,1486,1486,proteome
XP_010646485.1,2497,4,1475,1475,proteome
XP_010646492.1,2495,4,1473,1473,proteome
XP_010661961.2,2495,4,1473,1473,proteome
XP_010652101.1,2487,4,1465,1465,proteome
XP_019076638.1,2487,4,1465,1465,proteome
XP_059593833.1,2487,4,1465,1465,proteome
XP_010652813.1,2486,4,1464,1464,proteome
XP_010652815.1,2486,4,1464,1464,proteome
XP_059595355.1,2486,4,1464,1464,proteome
XP_010660075.1,2481,4,1459,1459,proteome
XP_059598703.1,2481,4,1459,1459,proteome
XP_019080415.1,2475,4,1453,1453,proteome
XP_002275591.2,2469,4,1447,1447,proteome
XP_059589753.1,2457,4,1435,1435,proteome
XP_059589754.1,2453,4,1431,1431,proteome
XP_059589755.1,2452,4,1430,1430,proteome
XP_059589756.1,2447,4,1425,1425,proteome
XP_059589757.1,2442,4,1420,1420,proteome
XP_019071946.1,2440,4,1418,1418,proteome
XP_059599325.1,2429,4,1407,1407,proteome
XP_010661962.1,2427,4,1405,1405,proteome
XP_010661326.1,2422,4,1400,1400,proteome
XP_010657340.1,2403,4,1381,1381,proteome
XP_010657341.1,2403,4,1381,1381,proteome
XP_059598412.1,2402,4,1380,1380,proteome
XP_010652102.1,2389,4,1367,1367,proteome
XP_010649668.1,2383,4,1361,1361,proteome
XP_010655281.1,2383,4,1361,1361,proteome
XP_010649669.1,2382,4,1360,1360,proteome
XP_010665144.1,2356,4,1334,1334,proteome
XP_003631193.1,2355,4,1333,1333,proteome
XP_010649006.1,2355,4,1333,1333,proteome
XP_010665145.1,2355,4,1333,1333,proteome
XP_019078952.1,2355,4,1333,1333,proteome
XP_010665146.1,2353,4,1331,1331,proteome
XP_003632762.1,2347,4,1325,1325,proteome
XP_010665147.1,2345,4,1323,1323,proteome
XP_010665148.1,2345,4,1323,1323,proteome
XP_010665149.1,2336,4,1314,1314,proteome
XP_010649670.1,2328,4,1306,1306,proteome
XP_010656371.1,2323,4,1301,1301,proteome
XP_010651281.1,2319,4,1297,1297,proteome
XP_010662857.1,2319,4,1297,1297,proteome
XP_010646529.2,2303,4,1281,1281,proteome
XP_019073747.2,2303,4,1281,1281,proteome
YP_567121.1,2300,4,1278,1278,proteome
YP_567140.1,2300,4,1278,1278,proteome
XP_002267137.3,2296,4,1274,1274,proteome
XP_059589733.1,2296,4,1274,1274,proteome
XP_059598646.1,2293,4,1271,1271,proteome
XP_059593661.1,2292,4,1270,1270,proteome
XP_059591021.1,2288,4,1266,1266,proteome
XP_059596803.1,2283,4,1261,1261,proteome
XP_059596804.1,2283,4,1261,1261,proteome
XP_019081692.1,2277,4,1255,1255,proteome
XP_010661793.1,2273,4,1251,1251,proteome
XP_010661794.1,2273,4,1251,1251,proteome
XP_010661795.1,2273,4,1251,1251,proteome
XP_019081161.1,2273,4,1251,1251,proteome
XP_059599229.1,2272,4,1250,1250,proteome
XP_059599230.1,2272,4,1250,1250,proteome
XP_059599231.1,2272,4,1250,1250,proteome
XP_010660079.1,2267,4,1245,1245,proteome
XP_059598608.1,2267,4,1245,1245,proteome
XP_002285808.2,2266,4,1244,1244,proteome
XP_010664302.1,2266,4,1244,1244,proteome
XP_010664303.1,2266,4,1244,1244,proteome
XP_002279980.2,2264,4,1242,1242,proteome
XP_002276245.2,2263,4,1241,1241,proteome
XP_059590277.1,2248,4,1226,1226,proteome
XP_010660927.1,2240,4,1218,1218,proteome
XP_010644441.1,2239,4,1217,1217,proteome
XP_010648561.1,2230,4,1208,1208,proteome
XP_010653013.1,2230,4,1208,1208,proteome
XP_010658708.2,2227,4,1205,1205,proteome
