protein_id,is_curated_GO,pctl_truncated,z_truncated,moderate_truncated,category_truncated,pctl_windowed_mean,z_windowed_mean,moderate_windowed_mean,category_windowed_mean,pctl_windowed_max,z_windowed_max,moderate_windowed_max,category_windowed_max,description,pctl_delta_mean,pctl_delta_max
NP_176917.2,False,21.155,-0.3744,False,defense_signaling,78.47,0.6099,False,defense_signaling,98.626,1.3737,False,cell_death_HR,NP_176917.2 recovery protein 3 [Arabidopsis thaliana],57.315,77.471
NP_001320391.1,False,24.55,-0.2498,False,defense_signaling,80.451,0.6322,False,defense_signaling,98.626,1.3737,False,cell_death_HR,NP_001320391.1 recovery protein 3 [Arabidopsis thaliana],55.901,74.076
NP_001320393.1,False,24.675,-0.2458,False,defense_signaling,80.574,0.6337,False,defense_signaling,98.626,1.3737,False,cell_death_HR,NP_001320393.1 recovery protein 3 [Arabidopsis thaliana],55.899,73.951
NP_001320390.1,False,24.675,-0.2458,False,defense_signaling,80.574,0.6337,False,defense_signaling,98.626,1.3737,False,cell_death_HR,NP_001320390.1 recovery protein 3 [Arabidopsis thaliana],55.899,73.951
NP_001320392.1,False,24.966,-0.2361,False,defense_signaling,80.079,0.6282,False,defense_signaling,98.626,1.3737,False,cell_death_HR,NP_001320392.1 recovery protein 3 [Arabidopsis thaliana],55.113,73.66
NP_001319333.1,False,24.966,-0.2361,False,defense_signaling,80.079,0.6282,False,defense_signaling,98.626,1.3737,False,cell_death_HR,NP_001319333.1 recovery protein 3 [Arabidopsis thaliana],55.113,73.66
NP_177854.6,False,22.505,-0.3203,False,defense_signaling,67.399,0.4849,False,defense_signaling,91.566,0.7822,False,defense_signaling,NP_177854.6 histone-lysine N-methyltransferase [Arabidopsis thaliana],44.894,69.061
NP_001327521.1,False,34.958,0.0236,False,defense_signaling,92.802,0.8015,False,defense_signaling,99.435,0.9834,True,defense_signaling,NP_001327521.1 auxin transport protein (BIG) [Arabidopsis thaliana],57.844,64.477
NP_001327522.1,False,35.248,0.0306,False,defense_signaling,92.8,0.8015,False,defense_signaling,99.435,0.9834,True,defense_signaling,NP_001327522.1 auxin transport protein (BIG) [Arabidopsis thaliana],57.552,64.187
NP_186875.2,False,35.768,0.0407,False,defense_signaling,92.441,0.796,False,defense_signaling,99.435,0.9834,True,defense_signaling,NP_186875.2 auxin transport protein (BIG) [Arabidopsis thaliana],56.673,63.667
NP_001327520.1,False,35.768,0.0407,False,defense_signaling,92.667,0.7999,False,defense_signaling,99.435,0.9834,True,defense_signaling,NP_001327520.1 auxin transport protein (BIG) [Arabidopsis thaliana],56.899,63.667
NP_187904.1,False,46.207,0.2229,False,defense_signaling,97.88,0.9102,False,defense_signaling,99.64,0.9984,True,defense_signaling,NP_187904.1 histone acetyltransferase of the CBP family 5 [Arabidopsis thaliana],51.673,53.433
NP_564891.4,False,42.438,0.1637,False,defense_signaling,78.35,0.6086,False,defense_signaling,95.617,0.8564,False,defense_signaling,NP_564891.4 histone acetyltransferase of the CBP family 2 [Arabidopsis thaliana],35.912,53.179
NP_567242.2,False,46.604,0.2294,False,defense_signaling,85.57,0.6966,False,defense_signaling,99.184,1.4495,True,cell_death_HR,NP_567242.2 translocon at the outer envelope membrane of chloroplasts 159 [Arabidopsis thaliana],38.966,52.58
NP_001328635.1,False,46.604,0.2294,False,defense_signaling,85.57,0.6966,False,defense_signaling,99.184,1.4495,True,cell_death_HR,NP_001328635.1 translocon at the outer envelope membrane of chloroplasts 159 [Arabidopsis thaliana],38.966,52.58
NP_001328636.1,False,46.604,0.2294,False,defense_signaling,85.57,0.6966,False,defense_signaling,99.184,1.4495,True,cell_death_HR,NP_001328636.1 translocon at the outer envelope membrane of chloroplasts 159 [Arabidopsis thaliana],38.966,52.58
NP_001319848.1,False,46.604,0.2294,False,defense_signaling,85.57,0.6966,False,defense_signaling,99.184,1.4495,True,cell_death_HR,NP_001319848.1 translocon at the outer envelope membrane of chloroplasts 159 [Arabidopsis thaliana],38.966,52.58
NP_193253.4,False,34.395,0.0107,False,defense_signaling,73.218,0.551,False,defense_signaling,86.18,0.7044,False,defense_signaling,NP_193253.4 SET domain protein 2 [Arabidopsis thaliana],38.823,51.785
NP_001326496.1,False,52.422,0.3085,False,defense_signaling,98.789,0.9487,False,defense_signaling,99.64,0.9984,True,defense_signaling,NP_001326496.1 histone acetyltransferase of the CBP family 5 [Arabidopsis thaliana],46.367,47.218
NP_001078319.1,False,38.611,0.0966,False,defense_signaling,71.718,0.5342,False,defense_signaling,84.313,0.6786,False,defense_signaling,NP_001078319.1 eukaryotic translation initiation factor 4G [Arabidopsis thaliana],33.107,45.702
NP_001078317.1,False,38.953,0.1024,False,defense_signaling,71.784,0.535,False,defense_signaling,84.313,0.6786,False,defense_signaling,NP_001078317.1 eukaryotic translation initiation factor 4G [Arabidopsis thaliana],32.831,45.36
NP_001078318.1,False,38.959,0.1025,False,defense_signaling,71.838,0.5352,False,defense_signaling,84.313,0.6786,False,defense_signaling,NP_001078318.1 eukaryotic translation initiation factor 4G [Arabidopsis thaliana],32.879,45.354
NP_179241.4,False,43.553,0.1831,False,defense_signaling,82.351,0.6549,False,defense_signaling,88.431,0.7367,False,defense_signaling,NP_179241.4 GW repeat- and PHD finger-containing protein NERD [Arabidopsis thaliana],38.798,44.878
NP_001324854.1,False,43.553,0.1831,False,defense_signaling,81.403,0.6437,False,defense_signaling,87.985,0.7545,False,cell_death_HR,NP_001324854.1 GW repeat- and PHD finger-containing protein NERD [Arabidopsis thaliana],37.85,44.432
NP_001077836.1,False,22.505,-0.3203,False,defense_signaling,39.561,0.1128,False,defense_signaling,64.462,0.452,False,defense_signaling,NP_001077836.1 histone-lysine N-methyltransferase [Arabidopsis thaliana],17.056,41.957
NP_173115.1,False,58.048,0.3812,False,defense_signaling,99.008,0.9625,True,defense_signaling,99.855,1.0194,True,defense_signaling,NP_173115.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],40.96,41.807
NP_565197.3,False,58.36,0.3855,False,defense_signaling,99.025,0.9633,True,defense_signaling,99.802,1.012,True,defense_signaling,NP_565197.3 histone acetyltransferase of the CBP family 1 [Arabidopsis thaliana],40.665,41.442
NP_001185433.1,False,58.36,0.3855,False,defense_signaling,98.928,0.9558,False,defense_signaling,99.802,1.012,True,defense_signaling,NP_001185433.1 histone acetyltransferase of the CBP family 1 [Arabidopsis thaliana],40.568,41.442
NP_973695.1,False,57.428,0.3727,False,defense_signaling,95.799,0.8605,False,defense_signaling,97.72,0.9039,False,defense_signaling,NP_973695.1 transcription regulatory protein SNF2 [Arabidopsis thaliana],38.371,40.292
NP_001323762.1,False,57.428,0.3727,False,defense_signaling,95.799,0.8605,False,defense_signaling,97.72,0.9039,False,defense_signaling,NP_001323762.1 transcription regulatory protein SNF2 [Arabidopsis thaliana],38.371,40.292
NP_001323760.1,False,57.428,0.3727,False,defense_signaling,95.799,0.8605,False,defense_signaling,97.72,0.9039,False,defense_signaling,NP_001323760.1 transcription regulatory protein SNF2 [Arabidopsis thaliana],38.371,40.292
NP_182126.2,False,57.428,0.3727,False,defense_signaling,95.71,0.8586,False,defense_signaling,97.619,0.9013,False,defense_signaling,NP_182126.2 transcription regulatory protein SNF2 [Arabidopsis thaliana],38.282,40.191
NP_001318432.1,False,57.428,0.3727,False,defense_signaling,95.71,0.8586,False,defense_signaling,97.619,0.9013,False,defense_signaling,NP_001318432.1 transcription regulatory protein SNF2 [Arabidopsis thaliana],38.282,40.191
NP_001323761.1,False,57.428,0.3727,False,defense_signaling,95.71,0.8586,False,defense_signaling,97.619,0.9013,False,defense_signaling,NP_001323761.1 transcription regulatory protein SNF2 [Arabidopsis thaliana],38.282,40.191
NP_001321740.1,False,60.103,0.4062,False,defense_signaling,99.068,0.9651,True,defense_signaling,99.775,1.0167,True,cell_death_HR,NP_001321740.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],38.965,39.672
NP_001321737.1,False,60.103,0.4062,False,defense_signaling,99.068,0.9651,True,defense_signaling,99.775,1.0167,True,cell_death_HR,NP_001321737.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],38.965,39.672
NP_001321741.1,False,60.103,0.4062,False,defense_signaling,99.068,0.9651,True,defense_signaling,99.775,1.0167,True,cell_death_HR,NP_001321741.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],38.965,39.672
NP_001321736.1,False,60.103,0.4062,False,defense_signaling,99.068,0.9651,True,defense_signaling,99.775,1.0167,True,cell_death_HR,NP_001321736.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],38.965,39.672
NP_001331528.1,False,22.439,-0.3228,False,defense_signaling,37.932,0.0833,False,defense_signaling,61.97,0.4246,False,defense_signaling,"NP_001331528.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",15.493,39.531
NP_001321735.1,False,60.103,0.4062,False,defense_signaling,92.215,0.7931,False,defense_signaling,99.295,0.9751,True,defense_signaling,NP_001321735.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],32.112,39.192
NP_001331532.1,False,22.439,-0.3228,False,defense_signaling,37.777,0.0803,False,defense_signaling,61.435,0.4181,False,defense_signaling,"NP_001331532.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",15.338,38.996
NP_001320389.1,False,24.675,-0.2458,False,defense_signaling,58.72,0.3878,False,defense_signaling,63.402,0.4404,False,defense_signaling,NP_001320389.1 recovery protein 3 [Arabidopsis thaliana],34.045,38.727
NP_187280.3,False,48.101,0.2512,False,defense_signaling,82.22,0.6538,False,defense_signaling,86.75,0.7468,False,cell_death_HR,NP_187280.3 SAC3/GANP/Nin1/mts3/eIF-3 p25 family [Arabidopsis thaliana],34.119,38.649
NP_001078482.1,False,39.778,0.0105,False,cell_death_HR,78.472,0.7498,False,cell_death_HR,78.416,0.7408,False,cell_death_HR,NP_001078482.1 MUS308 and mammalian DNA polymerase-like protein [Arabidopsis thaliana],38.694,38.638
NP_001328119.1,False,41.238,0.1443,False,defense_signaling,61.591,0.4198,False,defense_signaling,79.411,0.6191,False,defense_signaling,NP_001328119.1 spatacsin carboxy-terminus protein [Arabidopsis thaliana],20.353,38.173
NP_001154293.2,False,41.238,0.1443,False,defense_signaling,61.68,0.4209,False,defense_signaling,79.411,0.6191,False,defense_signaling,NP_001154293.2 spatacsin carboxy-terminus protein [Arabidopsis thaliana],20.442,38.173
NP_001185238.1,False,57.094,0.3684,False,defense_signaling,92.032,0.7902,False,defense_signaling,95.053,0.8438,False,defense_signaling,NP_001185238.1 calpain-type cysteine protease family [Arabidopsis thaliana],34.938,37.959
NP_200393.1,False,21.611,-0.3559,False,defense_signaling,35.984,0.0443,False,defense_signaling,59.403,0.3966,False,defense_signaling,"NP_200393.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",14.373,37.792
NP_001327776.1,False,49.738,0.2751,False,defense_signaling,77.796,0.6026,False,defense_signaling,86.75,0.7113,False,defense_signaling,NP_001327776.1 SAC3/GANP/Nin1/mts3/eIF-3 p25 family [Arabidopsis thaliana],28.058,37.012
NP_001331525.1,False,22.439,-0.3228,False,defense_signaling,37.337,0.0714,False,defense_signaling,59.403,0.3966,False,defense_signaling,"NP_001331525.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",14.898,36.964
NP_001321273.1,False,57.094,0.3684,False,defense_signaling,92.53,0.7976,False,defense_signaling,93.75,0.8198,False,defense_signaling,NP_001321273.1 calpain-type cysteine protease family [Arabidopsis thaliana],35.436,36.656
NP_175932.2,False,57.094,0.3684,False,defense_signaling,92.53,0.7976,False,defense_signaling,93.75,0.8198,False,defense_signaling,NP_175932.2 calpain-type cysteine protease family [Arabidopsis thaliana],35.436,36.656
NP_850966.1,False,57.094,0.3684,False,defense_signaling,92.53,0.7976,False,defense_signaling,93.75,0.8198,False,defense_signaling,NP_850966.1 calpain-type cysteine protease family [Arabidopsis thaliana],35.436,36.656
NP_850967.1,False,57.094,0.3684,False,defense_signaling,92.53,0.7976,False,defense_signaling,93.75,0.8198,False,defense_signaling,NP_850967.1 calpain-type cysteine protease family [Arabidopsis thaliana],35.436,36.656
NP_001319240.1,False,57.094,0.3684,False,defense_signaling,92.53,0.7976,False,defense_signaling,93.75,0.8198,False,defense_signaling,NP_001319240.1 calpain-type cysteine protease family [Arabidopsis thaliana],35.436,36.656
NP_001324606.1,False,38.92,0.1017,False,defense_signaling,65.325,0.462,False,defense_signaling,75.01,0.5709,False,defense_signaling,NP_001324606.1 zinc finger C3H1 domain protein [Arabidopsis thaliana],26.405,36.09
NP_193111.2,False,45.722,0.2162,False,defense_signaling,82.283,0.6543,False,defense_signaling,81.561,0.7054,False,NBS_LRR,"NP_193111.2 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein [Arabidopsis thaliana]",36.561,35.839
NP_001327777.1,False,50.932,0.2896,False,defense_signaling,83.633,0.6713,False,defense_signaling,86.75,0.7371,False,cell_death_HR,NP_001327777.1 SAC3/GANP/Nin1/mts3/eIF-3 p25 family [Arabidopsis thaliana],32.701,35.818
NP_001185015.1,False,64.02,0.4497,False,defense_signaling,99.158,0.9699,True,defense_signaling,99.77,1.0167,True,cell_death_HR,NP_001185015.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],35.138,35.75
NP_001328120.1,False,44.583,0.1983,False,defense_signaling,60.985,0.4132,False,defense_signaling,79.411,0.6191,False,defense_signaling,NP_001328120.1 spatacsin carboxy-terminus protein [Arabidopsis thaliana],16.402,34.828
NP_200042.4,False,56.089,0.3564,False,defense_signaling,82.65,0.6585,False,defense_signaling,90.541,0.7665,False,defense_signaling,NP_200042.4 shortage in chiasmata 1 [Arabidopsis thaliana],26.561,34.452
NP_195652.5,False,44.964,0.2047,False,defense_signaling,57.954,0.3781,False,defense_signaling,79.411,0.6191,False,defense_signaling,NP_195652.5 spatacsin carboxy-terminus protein [Arabidopsis thaliana],12.99,34.447
NP_001331524.1,False,21.29,-0.3679,False,defense_signaling,35.559,0.0362,False,defense_signaling,55.18,0.3427,False,defense_signaling,"NP_001331524.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",14.269,33.89
NP_001331531.1,False,21.304,-0.3678,False,defense_signaling,35.524,0.0357,False,defense_signaling,55.18,0.3427,False,defense_signaling,"NP_001331531.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",14.22,33.876
NP_001326746.1,False,64.896,0.4589,False,defense_signaling,98.714,0.9459,False,defense_signaling,98.533,1.3517,False,cell_death_HR,NP_001326746.1 Serine/Threonine-kinase ATM-like protein [Arabidopsis thaliana],33.818,33.637
NP_001319707.1,False,64.896,0.4589,False,defense_signaling,95.683,0.8581,False,defense_signaling,98.394,0.9281,False,defense_signaling,NP_001319707.1 Serine/Threonine-kinase ATM-like protein [Arabidopsis thaliana],30.787,33.498
NP_181490.5,False,37.505,0.0758,False,defense_signaling,62.445,0.4299,False,defense_signaling,70.863,0.5242,False,defense_signaling,NP_181490.5 zinc finger C3H1 domain protein [Arabidopsis thaliana],24.94,33.358
NP_001329531.1,False,61.61,0.4223,False,defense_signaling,84.691,0.6837,False,defense_signaling,94.603,0.8354,False,defense_signaling,NP_001329531.1 tRNA/rRNA methyltransferase (SpoU) family protein [Arabidopsis thaliana],23.081,32.993
NP_001329532.1,False,61.638,0.4227,False,defense_signaling,84.815,0.6853,False,defense_signaling,94.603,0.8354,False,defense_signaling,NP_001329532.1 tRNA/rRNA methyltransferase (SpoU) family protein [Arabidopsis thaliana],23.177,32.965
NP_001319976.1,False,61.61,0.4223,False,defense_signaling,82.741,0.6595,False,defense_signaling,94.181,0.8281,False,defense_signaling,NP_001319976.1 tRNA/rRNA methyltransferase (SpoU) family protein [Arabidopsis thaliana],21.131,32.571
NP_001331526.1,False,21.29,-0.3679,False,defense_signaling,35.046,0.0257,False,defense_signaling,53.49,0.3199,False,defense_signaling,"NP_001331526.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",13.756,32.2
NP_001331527.1,False,21.29,-0.3679,False,defense_signaling,35.046,0.0257,False,defense_signaling,53.49,0.3199,False,defense_signaling,"NP_001331527.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",13.756,32.2
NP_001331530.1,False,21.304,-0.3678,False,defense_signaling,35.009,0.0251,False,defense_signaling,53.49,0.3199,False,defense_signaling,"NP_001331530.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",13.705,32.186
NP_051121.1,False,10.354,-0.9775,False,defense_signaling,23.406,-0.2892,False,defense_signaling,42.296,0.1612,False,defense_signaling,NP_051121.1 Ycf2 (chloroplast) [Arabidopsis thaliana],13.052,31.942
NP_051101.1,False,10.354,-0.9775,False,defense_signaling,23.406,-0.2892,False,defense_signaling,42.296,0.1612,False,defense_signaling,NP_051101.1 Ycf2 (chloroplast) [Arabidopsis thaliana],13.052,31.942
NP_001322788.1,False,40.942,0.1384,False,defense_signaling,59.799,0.4009,False,defense_signaling,72.876,0.5461,False,defense_signaling,NP_001322788.1 RNA polymerase II transcription mediator [Arabidopsis thaliana],18.857,31.934
NP_001322789.1,False,40.942,0.1384,False,defense_signaling,59.799,0.4009,False,defense_signaling,72.876,0.5461,False,defense_signaling,NP_001322789.1 RNA polymerase II transcription mediator [Arabidopsis thaliana],18.857,31.934
NP_001323908.1,False,64.636,0.4567,False,defense_signaling,92.128,0.7918,False,defense_signaling,96.351,0.8728,False,defense_signaling,NP_001323908.1 piezo-type mechanosensitive ion channel component [Arabidopsis thaliana],27.492,31.715
NP_001331533.1,False,21.29,-0.3679,False,defense_signaling,34.916,0.0225,False,defense_signaling,52.829,0.3116,False,defense_signaling,"NP_001331533.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",13.626,31.539
NP_001331529.1,False,21.304,-0.3678,False,defense_signaling,34.889,0.0221,False,defense_signaling,52.829,0.3116,False,defense_signaling,"NP_001331529.1 inner centromere protein, ARK-binding region protein [Arabidopsis thaliana]",13.585,31.525
NP_565607.1,False,60.659,0.4118,False,defense_signaling,79.432,0.6205,False,defense_signaling,90.775,0.7696,False,defense_signaling,NP_565607.1 zinc finger FYVE domain protein [Arabidopsis thaliana],18.773,30.116
NP_001322202.1,False,69.643,0.5124,False,defense_signaling,99.266,0.9779,True,defense_signaling,99.732,1.0056,True,defense_signaling,NP_001322202.1 histone acetyltransferase of the CBP family 1 [Arabidopsis thaliana],29.623,30.089
NP_001328735.1,False,63.182,0.4822,False,cell_death_HR,86.66,0.9139,False,cell_death_HR,93.243,1.0915,False,cell_death_HR,"NP_001328735.1 DNA topoisomerase, type IA, core [Arabidopsis thaliana]",23.478,30.061
NP_001328666.1,False,69.515,0.5109,False,defense_signaling,96.335,0.8726,False,defense_signaling,99.535,0.9895,True,defense_signaling,NP_001328666.1 LSD1-like 3 [Arabidopsis thaliana],26.82,30.02
NP_001319957.1,False,69.515,0.5109,False,defense_signaling,96.335,0.8726,False,defense_signaling,99.535,0.9895,True,defense_signaling,NP_001319957.1 LSD1-like 3 [Arabidopsis thaliana],26.82,30.02
NP_001328665.1,False,69.515,0.5109,False,defense_signaling,96.335,0.8726,False,defense_signaling,99.535,0.9895,True,defense_signaling,NP_001328665.1 LSD1-like 3 [Arabidopsis thaliana],26.82,30.02
NP_193364.5,False,69.515,0.5109,False,defense_signaling,96.335,0.8726,False,defense_signaling,99.535,0.9895,True,defense_signaling,NP_193364.5 LSD1-like 3 [Arabidopsis thaliana],26.82,30.02
NP_001328664.1,False,69.515,0.5109,False,defense_signaling,96.335,0.8726,False,defense_signaling,99.535,0.9895,True,defense_signaling,NP_001328664.1 LSD1-like 3 [Arabidopsis thaliana],26.82,30.02
NP_194849.3,False,63.84,0.4937,False,cell_death_HR,86.77,0.9169,False,cell_death_HR,93.243,1.0915,False,cell_death_HR,"NP_194849.3 DNA topoisomerase, type IA, core [Arabidopsis thaliana]",22.93,29.403
NP_001185237.1,False,40.942,0.1384,False,defense_signaling,58.608,0.3866,False,defense_signaling,70.177,0.5164,False,defense_signaling,NP_001185237.1 RNA polymerase II transcription mediator [Arabidopsis thaliana],17.666,29.235
NP_001321739.1,False,70.637,0.5239,False,defense_signaling,99.409,0.9858,True,defense_signaling,99.815,1.0167,True,cell_death_HR,NP_001321739.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],28.772,29.178
NP_001321742.1,False,70.637,0.5239,False,defense_signaling,99.409,0.9858,True,defense_signaling,99.815,1.0167,True,cell_death_HR,NP_001321742.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],28.772,29.178
NP_001321738.1,False,70.637,0.5239,False,defense_signaling,99.409,0.9858,True,defense_signaling,99.815,1.0167,True,cell_death_HR,NP_001321738.1 histone acetyltransferase of the CBP family 12 [Arabidopsis thaliana],28.772,29.178
NP_001326745.1,False,69.471,0.5105,False,defense_signaling,98.901,0.9546,False,defense_signaling,98.346,1.3517,False,cell_death_HR,NP_001326745.1 Serine/Threonine-kinase ATM-like protein [Arabidopsis thaliana],29.43,28.875
NP_001323909.1,False,67.595,0.4894,False,defense_signaling,90.987,0.7729,False,defense_signaling,96.351,0.8728,False,defense_signaling,NP_001323909.1 piezo-type mechanosensitive ion channel component [Arabidopsis thaliana],23.392,28.756
NP_001325313.1,False,70.342,0.6098,False,cell_death_HR,99.552,0.9932,True,defense_signaling,98.723,1.0552,False,antimicrobial,NP_001325313.1 WD-40 repeat family protein / beige-like protein [Arabidopsis thaliana],29.21,28.381
NP_001318429.1,False,70.342,0.6098,False,cell_death_HR,99.552,0.9932,True,defense_signaling,98.723,1.0552,False,antimicrobial,NP_001318429.1 WD-40 repeat family protein / beige-like protein [Arabidopsis thaliana],29.21,28.381
NP_001325312.1,False,70.342,0.6098,False,cell_death_HR,99.552,0.9932,True,defense_signaling,98.723,1.0552,False,antimicrobial,NP_001325312.1 WD-40 repeat family protein / beige-like protein [Arabidopsis thaliana],29.21,28.381
NP_001325311.1,False,70.342,0.6098,False,cell_death_HR,99.552,0.9932,True,defense_signaling,98.723,1.0552,False,antimicrobial,NP_001325311.1 WD-40 repeat family protein / beige-like protein [Arabidopsis thaliana],29.21,28.381
NP_182078.1,False,70.342,0.6098,False,cell_death_HR,99.552,0.9932,True,defense_signaling,98.723,1.0552,False,antimicrobial,NP_182078.1 WD-40 repeat family protein / beige-like protein [Arabidopsis thaliana],29.21,28.381
NP_001328734.1,False,63.84,0.4937,False,cell_death_HR,83.921,0.8527,False,cell_death_HR,92.07,1.0501,False,cell_death_HR,"NP_001328734.1 DNA topoisomerase, type IA, core [Arabidopsis thaliana]",20.081,28.23
NP_001325349.1,False,70.325,0.5205,False,defense_signaling,51.781,0.2985,False,defense_signaling,98.205,0.9201,False,defense_signaling,NP_001325349.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana],-18.544,27.88
NP_001325348.1,False,70.325,0.5205,False,defense_signaling,50.93,0.288,False,defense_signaling,98.205,0.9201,False,defense_signaling,NP_001325348.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana],-19.395,27.88
