species,category,protein_id,clean_description,ranking_z,has_defense_keyword,z_NBS_LRR,z_PR_proteins,z_RLK_defense,z_defense_signaling,z_antimicrobial,z_cell_death_HR
A. thaliana,NBS_LRR,NP_199333.1,Disease resistance protein (TIR-NBS-LRR class) family,2.421643,True,2.421643,0.34591523,0.89611197,-0.0026373747,0.22916819,0.39788207
A. thaliana,NBS_LRR,NP_197290.1,disease resistance protein (TIR-NBS-LRR class),2.3699348,True,2.3699348,0.26771268,0.74533683,-0.12211424,0.24520442,0.329819
A. thaliana,NBS_LRR,NP_001319997.1,nucleoside-triphosphatase/transmembrane receptor/nucleotide binding/ATP binding protein,2.3501227,False,2.3501227,0.11287871,0.7772886,-0.13573804,0.1018742,0.21527272
A. thaliana,NBS_LRR,NP_187360.1,NB-ARC domain-containing disease resistance protein,2.3382084,True,2.3382084,-0.06557365,0.707267,-0.56862557,-0.16351,0.28240883
A. thaliana,NBS_LRR,NP_196159.1,LRR and NB-ARC domains-containing disease resistance protein,2.3145742,True,2.3145742,-0.07411898,0.58093005,-0.45076236,-0.16545749,-0.08684051
A. thaliana,NBS_LRR,NP_176451.1,Disease resistance protein (CC-NBS-LRR class) family,2.2829363,True,2.2829363,-0.1259058,0.5164433,-0.49693537,-0.16426036,-0.09298641
A. thaliana,PR_proteins,NP_566426.2,basic chitinase,2.28814,True,-0.2928523,2.28814,-0.13439144,-0.1511774,0.65686995,1.127291
A. thaliana,PR_proteins,NP_181890.1,Chitinase family protein,2.259935,True,-0.019499728,2.259935,0.22840291,0.13349186,0.77886575,0.97888535
A. thaliana,PR_proteins,NP_191010.1,homolog of carrot EP3-3 chitinase,2.1680322,True,0.18772413,2.1680322,0.40697417,0.13793376,0.7615726,0.8985889
A. thaliana,PR_proteins,NP_181885.1,chitinase,2.1238344,True,0.29592407,2.1238344,0.523978,0.32705814,0.91459,0.8318986
A. thaliana,PR_proteins,NP_197587.1,O-Glycosyl hydrolases family 17 protein,1.8369951,False,0.33297324,1.8369951,0.48834172,-0.1835941,0.85062444,1.3774253
A. thaliana,PR_proteins,NP_181494.1,glycosyl hydrolase family 17 protein,1.7724844,False,0.3873773,1.7724844,0.6052806,0.1514156,0.91180086,0.9047164
A. thaliana,RLK_defense,NP_176279.1,NSP-interacting kinase 3,1.9096663,True,1.5580428,0.7315332,1.9096663,0.5384125,0.5109001,0.52501374
A. thaliana,RLK_defense,NP_179973.2,Leucine-rich repeat protein kinase family protein,1.8944052,True,1.4571273,0.66260076,1.8944052,0.50650847,0.44680554,0.4824859
A. thaliana,RLK_defense,NP_568696.1,BAK1-interacting receptor-like kinase 1,1.8800718,True,1.5760008,0.66952664,1.8800718,0.4983755,0.5087654,0.43668827
A. thaliana,RLK_defense,NP_177328.1,somatic embryogenesis receptor-like kinase 1,1.8655921,True,1.3759913,0.624844,1.8655921,0.30095884,0.3459444,0.4325454
A. thaliana,RLK_defense,NP_196591.2,leucine-rich repeat transmembrane protein kinase family protein,1.8587868,True,1.4029162,0.78135407,1.8587868,0.43810707,0.54747635,0.48253813
A. thaliana,RLK_defense,NP_001319765.1,meristematic receptor-like kinase,1.8585285,True,1.403459,0.6582373,1.8585285,0.44542137,0.45370832,0.47475353
A. thaliana,defense_signaling,NP_565070.2,MAP kinase 15,1.1557679,True,0.6198896,0.66273236,0.94304216,1.1557679,0.67389566,0.5321143
A. thaliana,defense_signaling,NP_001327322.1,calmodulin-binding transcription activator,1.1299353,False,0.55786914,0.7308734,0.8172722,1.1299353,0.77648723,0.4294909
A. thaliana,defense_signaling,NP_193701.2,NPR1-like protein 4,1.1010077,True,0.47615924,0.38196257,0.6281949,1.1010077,0.6470035,0.115474775
A. thaliana,defense_signaling,NP_001323341.1,Protein kinase superfamily protein,1.0923275,True,0.8291537,0.68228215,0.95268226,1.0923275,0.75475794,0.6505083
A. thaliana,defense_signaling,NP_001190382.1,inositol requiring 1-1,1.0888777,False,0.6552501,0.6434741,0.8704797,1.0888777,0.8170733,0.5742118
A. thaliana,defense_signaling,NP_176899.2,Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domain,1.0884281,False,0.45547593,0.5602983,0.6873792,1.0884281,0.5782494,0.41749576
A. thaliana,antimicrobial,NP_190894.1,phenylalanine ammonia-lyase 2,1.8763715,True,0.073982246,1.0255584,0.28113928,0.27092874,1.8763715,0.9789899
A. thaliana,antimicrobial,NP_181241.1,PHE ammonia lyase 1,1.8615451,False,0.050106194,1.0318627,0.2679414,0.29977423,1.8615451,1.0146017
