protein_id,is_curated_GO,pctl_truncated,z_truncated,moderate_truncated,category_truncated,pctl_windowed_mean,z_windowed_mean,moderate_windowed_mean,category_windowed_mean,pctl_windowed_max,z_windowed_max,moderate_windowed_max,category_windowed_max,description,pctl_delta_mean,pctl_delta_max
XP_015625429.1,False,11.122,-0.8989,False,defense_signaling,52.738,0.2795,False,defense_signaling,84.597,0.721,False,defense_signaling,XP_015625429.1 uncharacterized protein LOC4329647 [Oryza sativa Japonica Group],41.616,73.475
XP_015650670.1,False,27.165,-0.2117,False,defense_signaling,97.225,0.9682,False,defense_signaling,97.798,1.3255,False,antimicrobial,"XP_015650670.1 starch synthase 3, chloroplastic/amyloplastic [Oryza sativa Japonica Group]",70.06,70.633
XP_015650668.1,False,27.165,-0.2117,False,defense_signaling,97.225,0.9682,False,defense_signaling,97.798,1.3255,False,antimicrobial,"XP_015650668.1 starch synthase 3, chloroplastic/amyloplastic [Oryza sativa Japonica Group]",70.06,70.633
XP_015650669.1,False,27.165,-0.2117,False,defense_signaling,97.225,0.9682,False,defense_signaling,97.798,1.3255,False,antimicrobial,"XP_015650669.1 starch synthase 3, chloroplastic/amyloplastic [Oryza sativa Japonica Group]",70.06,70.633
XP_015650671.1,False,27.165,-0.2117,False,defense_signaling,97.225,0.9682,False,defense_signaling,97.798,1.3255,False,antimicrobial,"XP_015650671.1 starch synthase 3, chloroplastic/amyloplastic [Oryza sativa Japonica Group]",70.06,70.633
XP_015646815.1,False,29.024,-0.1613,False,defense_signaling,91.65,0.8399,False,defense_signaling,98.452,1.4315,False,cell_death_HR,XP_015646815.1 DNA polymerase zeta catalytic subunit isoform X2 [Oryza sativa Japonica Group],62.626,69.428
XP_015646816.1,False,29.473,-0.1515,False,defense_signaling,93.144,0.8682,False,defense_signaling,98.069,1.4016,False,cell_death_HR,XP_015646816.1 DNA polymerase zeta catalytic subunit isoform X3 [Oryza sativa Japonica Group],63.671,68.596
XP_015646814.1,False,29.496,-0.1512,False,defense_signaling,92.045,0.8474,False,defense_signaling,98.069,1.4016,False,cell_death_HR,XP_015646814.1 DNA polymerase zeta catalytic subunit isoform X1 [Oryza sativa Japonica Group],62.549,68.573
XP_015622419.1,False,7.27,-1.2754,False,defense_signaling,7.211,-1.3182,False,NBS_LRR,75.669,0.5959,False,defense_signaling,XP_015622419.1 uncharacterized protein LOC4326289 [Oryza sativa Japonica Group],-0.059,68.399
XP_015630428.1,False,24.282,-0.2959,False,defense_signaling,60.019,0.38,False,defense_signaling,84.486,0.8897,False,cell_death_HR,XP_015630428.1 LOW QUALITY PROTEIN: nuclear pore complex protein NUP1-like [Oryza sativa Japonica Group],35.737,60.204
XP_015611300.2,False,40.914,0.0882,False,defense_signaling,95.918,0.9312,False,defense_signaling,99.406,1.0741,True,defense_signaling,XP_015611300.2 auxin transport protein BIG [Oryza sativa Japonica Group],55.004,58.492
XP_015619908.1,False,25.991,-0.2432,False,defense_signaling,64.942,0.4456,False,defense_signaling,82.566,0.6914,False,defense_signaling,XP_015619908.1 uncharacterized protein LOC4352551 isoform X1 [Oryza sativa Japonica Group],38.951,56.575
XP_015619909.1,False,27.577,-0.2001,False,defense_signaling,66.245,0.4645,False,defense_signaling,82.566,0.6914,False,defense_signaling,XP_015619909.1 uncharacterized protein LOC4352551 isoform X2 [Oryza sativa Japonica Group],38.668,54.989
XP_015650039.1,False,28.101,-0.1867,False,defense_signaling,55.565,0.32,False,defense_signaling,79.138,0.6438,False,defense_signaling,XP_015650039.1 uncharacterized protein LOC4346022 [Oryza sativa Japonica Group],27.464,51.037
XP_015642455.1,False,46.189,0.1832,False,defense_signaling,49.884,0.2382,False,defense_signaling,97.076,0.9625,False,defense_signaling,XP_015642455.1 chromatin structure-remodeling complex protein SYD isoform X1 [Oryza sativa Japonica Group],3.695,50.887
XP_015642454.1,False,46.189,0.1832,False,defense_signaling,49.884,0.2382,False,defense_signaling,97.076,0.9625,False,defense_signaling,XP_015642454.1 chromatin structure-remodeling complex protein SYD isoform X1 [Oryza sativa Japonica Group],3.695,50.887
XP_015642456.1,False,46.189,0.1832,False,defense_signaling,49.884,0.2382,False,defense_signaling,97.076,0.9625,False,defense_signaling,XP_015642456.1 chromatin structure-remodeling complex protein SYD isoform X1 [Oryza sativa Japonica Group],3.695,50.887
XP_015622781.1,False,46.137,0.1823,False,defense_signaling,92.061,0.8479,False,defense_signaling,96.338,0.9424,False,defense_signaling,XP_015622781.1 protein BREAST CANCER SUSCEPTIBILITY 2 homolog B isoform X6 [Oryza sativa Japonica Group],45.924,50.201
XP_015642458.1,False,47.563,0.2031,False,defense_signaling,49.445,0.2314,False,defense_signaling,97.111,0.964,False,defense_signaling,XP_015642458.1 chromatin structure-remodeling complex protein SYD isoform X2 [Oryza sativa Japonica Group],1.882,49.548
XP_015622774.1,False,47.533,0.2026,False,defense_signaling,91.641,0.8398,False,defense_signaling,96.338,0.9424,False,defense_signaling,XP_015622774.1 protein BREAST CANCER SUSCEPTIBILITY 2 homolog B isoform X4 [Oryza sativa Japonica Group],44.108,48.805
XP_025878753.1,False,47.594,0.2037,False,defense_signaling,91.692,0.8408,False,defense_signaling,96.338,0.9424,False,defense_signaling,XP_025878753.1 protein BREAST CANCER SUSCEPTIBILITY 2 homolog B isoform X5 [Oryza sativa Japonica Group],44.098,48.744
XP_015622733.1,False,47.634,0.2041,False,defense_signaling,91.536,0.8384,False,defense_signaling,96.338,0.9424,False,defense_signaling,XP_015622733.1 protein BREAST CANCER SUSCEPTIBILITY 2 homolog B isoform X1 [Oryza sativa Japonica Group],43.902,48.704
XP_015622741.1,False,47.634,0.2041,False,defense_signaling,91.536,0.8384,False,defense_signaling,96.338,0.9424,False,defense_signaling,XP_015622741.1 protein BREAST CANCER SUSCEPTIBILITY 2 homolog B isoform X1 [Oryza sativa Japonica Group],43.902,48.704
XP_015622757.1,False,48.223,0.2137,False,defense_signaling,91.697,0.8408,False,defense_signaling,96.338,0.9424,False,defense_signaling,XP_015622757.1 protein BREAST CANCER SUSCEPTIBILITY 2 homolog B isoform X2 [Oryza sativa Japonica Group],43.474,48.115
XP_015622765.1,False,48.583,0.2191,False,defense_signaling,91.711,0.8413,False,defense_signaling,96.338,0.9424,False,defense_signaling,XP_015622765.1 protein BREAST CANCER SUSCEPTIBILITY 2 homolog B isoform X3 [Oryza sativa Japonica Group],43.128,47.755
